# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.554514138872e-10       7.261001004894e-15       5.042512535985e-13       2.726555710948e-19       8.719614461324e-09       4.802398155446e-10      -2.502196498162e-12 
    3       1.467567981169e-10       1.228636261771e-14       6.326054425516e-13       5.455466368750e-19       5.421497240245e-09       3.441952918283e-10      -2.201333186611e-12 
    4       1.379611651594e-10       1.434291752308e-14       6.543751325621e-13       9.097595566985e-19       3.782872461118e-09       2.624262493876e-10      -1.755622393103e-12 
    5       1.308606589740e-10       1.326470732527e-14       6.131928863673e-13       1.365585926317e-18       2.828838420889e-09       2.084585425112e-10      -1.303056490168e-12 
    6       1.255138851356e-10       1.023670956607e-14       5.399946077428e-13       1.913371705598e-18       2.212617916989e-09       1.703922065236e-10      -8.903314933387e-13 
    7       1.216358327062e-10       6.787278054890e-15       4.558932195035e-13       2.553505947953e-18       1.786022960751e-09       1.422459688179e-10      -5.415129869154e-13 
    8       1.189243537447e-10       4.014367877895e-15       3.736636589030e-13       3.286408304086e-18       1.476251475950e-09       1.207151327181e-10      -2.673017444946e-13 
    9       1.171349150895e-10       2.325105699487e-15       3.009023964856e-13       4.112515790680e-18       1.243340450208e-09       1.038199269589e-10      -6.933225073694e-14 
   10       1.160522075820e-10       1.568930381685e-15       2.418513749686e-13       5.032269341833e-18       1.063519305261e-09       9.031328275255e-11       5.766883844051e-14 
   11       1.155418261725e-10       1.346932687359e-15       1.982845688367e-13       6.046100667381e-18       8.947187583380e-10       7.954159428929e-11       1.232463838079e-13 
   12       1.154835236594e-10       1.291358466458e-15       1.699521261476e-13       7.154419927326e-18       7.820457540632e-10       7.034249807539e-11       1.419427105811e-13 
   13       1.157661048835e-10       1.205579586646e-15       1.550753057574e-13       8.357604696106e-18       6.895367183890e-10       6.283782024460e-11       1.275461385043e-13 
   14       1.162911347015e-10       1.061788090281e-15       1.510030514490e-13       9.655990635797e-18       6.125530766752e-10       5.632161892615e-11       9.270622676949e-14 
   15       1.170620132857e-10       9.196817801049e-16       1.547070931973e-13       1.104986422580e-17       5.477414232895e-10       5.087934758547e-11       4.964191784857e-14 
   16       1.180306998156e-10       8.404779539623e-16       1.630954781050e-13       1.253945781101e-17       4.926263618173e-10       4.625906476475e-11       7.410881532354e-15 
   17       1.191284961699e-10       8.417350297705e-16       1.735464240361e-13       1.412494713436e-17       4.453379490587e-10       4.226556278299e-11      -2.767091376820e-14 
   18       1.203473030810e-10       8.963029724642e-16       1.842085335219e-13       1.580645020331e-17       4.042852175984e-10       3.872707588625e-11      -5.205966450930e-14 
   19       1.216959895145e-10       9.715836743427e-16       1.940662988105e-13       1.758403594368e-17       3.688214980397e-10       3.560994326500e-11      -6.486014921186e-14 
   20       1.231240300637e-10       1.034083883164e-15       2.022875693140e-13       1.945771587802e-17       3.375801067297e-10       3.285044300763e-11      -6.687839391081e-14 
   21       1.246418465779e-10       1.086735917814e-15       2.089017779895e-13       2.142746898436e-17       3.100720554345e-10       3.040324245537e-11      -6.024069094038e-14 
   22       1.262441168380e-10       1.147630220554e-15       2.143255441949e-13       2.349323178092e-17       2.856414674481e-10       2.818990767104e-11      -4.828644615643e-14 
   23       1.279217016281e-10       1.235997645041e-15       2.190162695188e-13       2.565492800771e-17       2.639537188491e-10       2.618405805624e-11      -3.395879161845e-14 
   24       1.296448676916e-10       1.370241272914e-15       2.235109572588e-13       2.791245866110e-17       2.445084890815e-10       2.435675654527e-11      -2.035513373857e-14 
   25       1.314289875687e-10       1.550803848935e-15       2.282647385771e-13       3.026573675494e-17       2.270780646259e-10       2.271509951318e-11      -9.317462053419e-15 
   26       1.332831779299e-10       1.770785899865e-15       2.336709412792e-13       3.271467511142e-17       2.113479947329e-10       2.125713906208e-11      -2.185714543776e-15 
   27       1.351889414797e-10       2.023842473363e-15       2.397586129992e-13       3.525921691598e-17       1.971302554744e-10       1.994969979661e-11       8.300378230946e-16 
   28       1.371115984765e-10       2.303621650976e-15       2.463719649941e-13       3.789932793673e-17       1.841803379582e-10       1.874304772871e-11       9.753088021508e-17 
   29       1.390611617659e-10       2.609649938715e-15       2.532142254681e-13       4.063503213845e-17       1.724325871221e-10       1.763356014120e-11      -3.578059010315e-15 
   30       1.410513488229e-10       2.943164710767e-15       2.598516445316e-13       4.346639154820e-17       1.617613411175e-10       1.662336768382e-11      -8.963065355850e-15 
   31       1.430850293781e-10       3.304785158104e-15       2.657703561971e-13       4.639350626596e-17       1.519494923925e-10       1.570509059164e-11      -1.461318974156e-14 
