# Matter power spectrum P(k) at redshift z=0
# for k=1.04528e-05 to 10.5313 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045278920736e-05       5.247853149755e+01 
       2.342657481107e-05       1.140513434881e+02 
       3.644644763758e-05       1.744718018365e+02 
       4.954794615199e-05       2.344240338428e+02 
       6.276720330205e-05       2.942931184308e+02 
       7.614127334800e-05       3.543654322886e+02 
       8.970846926353e-05       4.148845239177e+02 
       1.035087152564e-04       4.760739361449e+02 
       1.175839189905e-04       5.381488538241e+02 
       1.319783681270e-04       6.013231240207e+02 
       1.467391558033e-04       6.658141105722e+02 
       1.619166396028e-04       7.318464473802e+02 
       1.775649383665e-04       7.996552373100e+02 
       1.937424707923e-04       8.694889509406e+02 
       2.105125390413e-04       9.416122056528e+02 
       2.279439593909e-04       1.016308503681e+03 
       2.461117401469e-04       1.093882964823e+03 
       2.650978043190e-04       1.174665081035e+03 
       2.849917506738e-04       1.259011461994e+03 
       3.058916413497e-04       1.347308528587e+03 
       3.279047968384e-04       1.439975053961e+03 
       3.511485693724e-04       1.537464436135e+03 
       3.757510532181e-04       1.640266486975e+03 
       4.018516748091e-04       1.748908519320e+03 
       4.296015871488e-04       1.863955384819e+03 
       4.591637721385e-04       1.986008067840e+03 
       4.907127330660e-04       2.115700367676e+03 
       5.244336403915e-04       2.253693121880e+03 
       5.605207818915e-04       2.400665465890e+03 
       5.991751697755e-04       2.557302578530e+03 
       6.406011806813e-04       2.724279589985e+03 
       6.850021578991e-04       2.902241572397e+03 
       7.325749949968e-04       3.091779913110e+03 
       7.835038466417e-04       3.293405900604e+03 
       8.379532663540e-04       3.507523092386e+03 
       8.960612299658e-04       3.734400456255e+03 
       9.579326334514e-04       3.974148786579e+03 
       1.023633914793e-03       4.226703224575e+03 
       1.093189408472e-03       4.491813947060e+03 
       1.166579885769e-03       4.769046869780e+03 
       1.243743482962e-03       5.057794729451e+03 
       1.324578921228e-03       5.357297517389e+03 
       1.408950641606e-03       5.666654321935e+03 
       1.496695275622e-03       5.984877248170e+03 
       1.587628782491e-03       6.310952633072e+03 
       1.681553609701e-03       6.643816920365e+03 
       1.778265348813e-03       6.982408431588e+03 
       1.877558521666e-03       7.325690847732e+03 
       1.979231302626e-03       7.672671903825e+03 
       2.083089130175e-03       8.022417043861e+03 
       2.188947270049e-03       8.374057656098e+03 
       2.296632459529e-03       8.726796273790e+03 
       2.405983793843e-03       9.079908357739e+03 
       2.516853020190e-03       9.432739588303e+03 
       2.629104392422e-03       9.784705454713e+03 
       2.742614217927e-03       1.013528520358e+04 
       2.857270203767e-03       1.048401939952e+04 
       2.972970685257e-03       1.083050265733e+04 
       3.089623799027e-03       1.117438163672e+04 
       3.207146644949e-03       1.151534674899e+04 
       3.325464467330e-03       1.185313063403e+04 
       3.444509874960e-03       1.218750128604e+04 
       3.564222111649e-03       1.251825942270e+04 
       3.684546383169e-03       1.284523394458e+04 
       3.805433242487e-03       1.316827883144e+04 
       3.926838032525e-03       1.348727126212e+04 
       4.048720383991e-03       1.380210835615e+04 
       4.171043764771e-03       1.411270078780e+04 
       4.293775076914e-03       1.441898142776e+04 
       4.416884296999e-03       1.472088869561e+04 
       4.540344155746e-03       1.501837895482e+04 
       4.664129852877e-03       1.531141871000e+04 
       4.788218803511e-03       1.559996132390e+04 
       4.912590412632e-03       1.588402873641e+04 
       5.037225874525e-03       1.616360535981e+04 
       5.162107994344e-03       1.643868550006e+04 
       5.287221029285e-03       1.670927580886e+04 
       5.412550547113e-03       1.697533414824e+04 
       5.538083300036e-03       1.723682789112e+04 
       5.663807112170e-03       1.749403239274e+04 
       5.789710779002e-03       1.774670665837e+04 
       5.915783977503e-03       1.799498310609e+04 
       6.042017185642e-03       1.823885792951e+04 
       6.168401610263e-03       1.847839189525e+04 
       6.294929122342e-03       1.871358921400e+04 
       6.421592198835e-03       1.894446737454e+04 
       6.548383870350e-03       1.917106039333e+04 
       6.675297674018e-03       1.939342627949e+04 
       6.802327610988e-03       1.961159808945e+04 
       6.929468108045e-03       1.982562952895e+04 
       7.056713982904e-03       2.003548691859e+04 
       7.184060412802e-03       2.024125697171e+04 
       7.311502906023e-03       2.044304497982e+04 
       7.439037276059e-03       2.064082219529e+04 
       7.566659618143e-03       2.083451308286e+04 
       7.694366287895e-03       2.102437756367e+04 
       7.822153881884e-03       2.121032202940e+04 
       7.950019219900e-03       2.139244147163e+04 
       8.077959328782e-03       2.157068030056e+04 
       8.205971427640e-03       2.174530185024e+04 
       8.334052914334e-03       2.191610648756e+04 
       8.462201353107e-03       2.208342615539e+04 
       8.590414463236e-03       2.224670654238e+04 
       8.718690108634e-03       2.240660134328e+04 
       8.847026288293e-03       2.256293221955e+04 
       8.975421127506e-03       2.271572593515e+04 
       9.103872869789e-03       2.286520820500e+04 
       9.232379869446e-03       2.301087493258e+04 
