# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494828264961e-10       7.287313688724e-15       4.814096252365e-13       0.000000000000e+00       8.825903058182e-09       4.854150749372e-10      -2.509219549666e-12 
    3       1.409122105778e-10       1.233902880819e-14       6.057286790404e-13       0.000000000000e+00       5.419463281612e-09       3.460026351889e-10      -2.206937944326e-12 
    4       1.324544823323e-10       1.440621066042e-14       6.265770127205e-13       0.000000000000e+00       3.766408735574e-09       2.633926186946e-10      -1.760439141530e-12 
    5       1.257513137066e-10       1.332205209435e-14       5.867648098948e-13       0.000000000000e+00       2.811293187958e-09       2.090163784290e-10      -1.306629525950e-12 
    6       1.208120869505e-10       1.027922549122e-14       5.163405914207e-13       0.000000000000e+00       2.196180534853e-09       1.706914477564e-10      -8.928084131695e-13 
    7       1.173408623780e-10       6.812756681988e-15       4.356806602869e-13       0.000000000000e+00       1.772055636067e-09       1.423924788024e-10      -5.430788760787e-13 
    8       1.150184689759e-10       4.025925482806e-15       3.570204966415e-13       0.000000000000e+00       1.464715375269e-09       1.207600688866e-10      -2.682001859873e-13 
    9       1.135999047788e-10       2.327640311314e-15       2.876099606730e-13       0.000000000000e+00       1.233340325163e-09       1.037760372005e-10      -6.979417254125e-14 
   10       1.128711898774e-10       1.566529326122e-15       2.315155740227e-13       0.000000000000e+00       1.053960822749e-09       9.019198405352e-11       5.746711028415e-14 
   11       1.126923107214e-10       1.341934732643e-15       1.904071879193e-13       0.000000000000e+00       8.886903860299e-10       7.947034622377e-11       1.231717665790e-13 
   12       1.129548799414e-10       1.284647517060e-15       1.640099811417e-13       0.000000000000e+00       7.765290377905e-10       7.024902260072e-11       1.419413111172e-13 
   13       1.135393861756e-10       1.197293055334e-15       1.505553598656e-13       0.000000000000e+00       6.844577118717e-10       6.271628659129e-11       1.275338463951e-13 
   14       1.143472714338e-10       1.051900777724e-15       1.474321894016e-13       0.000000000000e+00       6.078521612681e-10       5.618594391749e-11       9.266691335812e-14 
   15       1.153846709383e-10       9.082003571060e-16       1.517032299182e-13       0.000000000000e+00       5.433708909387e-10       5.073048762463e-11       4.955835195306e-14 
   16       1.166123328418e-10       8.273594701465e-16       1.603492330934e-13       0.000000000000e+00       4.885469503877e-10       4.610648081485e-11       7.287311899403e-15 
