# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.248782678913e+03       4.243125439880e-02       0.000000000000e+00       3.289449813839e+00       5.016200812726e-08       3.524894563850e-03      -1.466649247016e-05 
    3       1.167144823903e+03       6.128585036458e-02       0.000000000000e+00       3.921687988037e+00       6.172469768178e-08       3.531490284429e-03      -1.684403992710e-05 
    4       1.090190038858e+03       6.012693651262e-02       0.000000000000e+00       3.849695785397e+00       7.168011594129e-08       3.452254171689e-03      -1.560133195857e-05 
    5       1.030006532292e+03       4.583639441163e-02       0.000000000000e+00       3.422412474632e+00       8.040995042060e-08       3.339625925582e-03      -1.221930882193e-05 
    6       9.857037903848e+02       2.881907844632e-02       0.000000000000e+00       2.859712727584e+00       8.807912642069e-08       3.215716124426e-03      -7.823141841942e-06 
    7       9.539615556164e+02       1.605169889016e-02       0.000000000000e+00       2.300698193125e+00       9.487063370860e-08       3.090489832566e-03      -3.414319171843e-06 
    8       9.313872651070e+02       9.218609507303e-03       0.000000000000e+00       1.820356926950e+00       1.009003214515e-07       2.967176094847e-03       2.387738196086e-07 
    9       9.160193520771e+02       6.590458889979e-03       0.000000000000e+00       1.452057993670e+00       1.062615831777e-07       2.848240528398e-03       2.670124122182e-06 
   10       9.063601392510e+02       5.716014881792e-03       0.000000000000e+00       1.202009527671e+00       1.110570686386e-07       2.736975298196e-03       3.737138348253e-06 
   11       9.006891817722e+02       5.080787638022e-03       0.000000000000e+00       1.059714685425e+00       1.125889082064e-07       2.640863830495e-03       3.581047229123e-06 
   12       8.984700389893e+02       4.340656211461e-03       0.000000000000e+00       1.004227106048e+00       1.163590078176e-07       2.544502231266e-03       2.560877250222e-06 
   13       8.988824743258e+02       3.738192474656e-03       0.000000000000e+00       1.010136682711e+00       1.197464658331e-07       2.449062757358e-03       1.091006836812e-06 
   14       9.009371143717e+02       3.492811577506e-03       0.000000000000e+00       1.054156423132e+00       1.227914166895e-07       2.360951159853e-03      -3.976972372460e-07 
