# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       1.248786466133e+03       4.243336018635e-02       2.105787264736e-06       3.289449777594e+00       5.016200812726e-08       3.524894563850e-03      -1.466649247016e-05 
    3       1.167152385126e+03       6.129006301475e-02       4.212647424752e-06       3.921687826589e+00       6.172469768178e-08       3.531490284429e-03      -1.684403992710e-05 
    4       1.090202611829e+03       6.013395995984e-02       7.023433751184e-06       3.849695321803e+00       7.168011594129e-08       3.452254171689e-03      -1.560133195857e-05 
    5       1.030025337972e+03       4.584693395329e-02       1.053949570887e-05       3.422411419387e+00       8.040995042060e-08       3.339625925582e-03      -1.221930882193e-05 
    6       9.857300294534e+02       2.883384102395e-02       1.476245283172e-05       2.859710654668e+00       8.807912642069e-08       3.215716124426e-03      -7.823141841942e-06 
    7       9.539964054101e+02       1.607139333255e-02       1.969415351712e-05       2.300694518572e+00       9.487063370860e-08       3.090489832566e-03      -3.414319171843e-06 
    8       9.314318770391e+02       9.243946729833e-03       2.533662904919e-05       1.820350890277e+00       1.009003214515e-07       2.967176094847e-03       2.387738196086e-07 
    9       9.160748495843e+02       6.622152045223e-03       3.169204451224e-05       1.452048642373e+00       1.062615831777e-07       2.848240528398e-03       2.670124122182e-06 
   10       9.064276162846e+02       5.754779457405e-03       3.876264835295e-05       1.201995704902e+00       1.110570686386e-07       2.736975298196e-03       3.737138348253e-06 
   11       9.007697018381e+02       5.127341499207e-03       4.655072237830e-05       1.059695020877e+00       1.125889082064e-07       2.640863830495e-03       3.581047229123e-06 
   12       8.985646347243e+02       4.395719586422e-03       5.505853393438e-05       1.004200009949e+00       1.163590078176e-07       2.544502231266e-03       2.560877250222e-06 
   13       8.989921475800e+02       3.802487882702e-03       6.428829190140e-05       1.010100342777e+00       1.197464658331e-07       2.449062757358e-03       1.091006836812e-06 
   14       9.010628367527e+02       3.567063700771e-03       7.424210796658e-05       1.054108804229e+00       1.227914166895e-07       2.360951159853e-03      -3.976972372460e-07 
   15       9.053695170009e+02       3.660599155702e-03       8.492196440711e-05       1.117562764081e+00       1.255313960181e-07       2.281332752396e-03      -1.572709400761e-06 
   16       9.109444771318e+02       3.915545062163e-03       9.632968933778e-05       1.187325456724e+00       1.279975885804e-07       2.206788484693e-03      -2.245387820865e-06 
   17       9.178200307260e+02       4.214008575893e-03       1.084669400659e-04       1.255854567718e+00       1.302160570998e-07       2.130793717524e-03      -2.385667113887e-06 
   18       9.257278947453e+02       4.570823636927e-03       1.213351910052e-04       1.320357891956e+00       1.321589862790e-07       2.057654070816e-03      -2.086232261401e-06 
   19       9.346229150183e+02       5.064499797896e-03       1.349357530933e-04       1.381955017868e+00       1.339980116534e-07       1.990942048507e-03      -1.493808912669e-06 
   20       9.441440830108e+02       5.782004138234e-03       1.492697396601e-04       1.443079244702e+00       1.355922418110e-07       1.927446468345e-03      -8.434186991493e-07 
   21       9.544153978786e+02       6.731289547168e-03       1.643381390255e-04       1.506012762373e+00       1.370307479998e-07       1.867509023233e-03      -2.948952231155e-07 
   22       9.654393812593e+02       7.885602932867e-03       1.801417751398e-04       1.572818940884e+00       1.382877597606e-07       1.810141179750e-03       1.643839578997e-08 
   23       9.771640081938e+02       9.225461030288e-03       1.966813983970e-04       1.643720836215e+00       1.394345463736e-07       1.756337116091e-03       5.192046996341e-08 
   24       9.893574710212e+02       1.073193368288e-02       2.139576458794e-04       1.717730761722e+00       1.404218418367e-07       1.705851891914e-03      -1.615997992772e-07 
   25       1.002103204742e+03       1.240901282696e-02       2.319711518766e-04       1.792282560332e+00       1.413053194568e-07       1.658156139301e-03      -5.476313725395e-07 
   26       1.015431444271e+03       1.426412280214e-02       2.507224998097e-04       1.863826359448e+00       1.420631763476e-07       1.611411592176e-03      -9.831395038730e-07 
   27       1.029238173794e+03       1.628818632658e-02       2.702123208844e-04       1.929184409533e+00       1.427229401356e-07       1.566360034400e-03      -1.361295313082e-06 
   28       1.043313082771e+03       1.846887784508e-02       2.904412621072e-04       1.985315360474e+00       1.432476503952e-07       1.523828702232e-03      -1.579282618695e-06 
   29       1.057737392809e+03       2.081671851753e-02       3.114101110120e-04       2.030995271392e+00       1.437118979051e-07       1.484287216576e-03      -1.620230341671e-06 
   30       1.072597590447e+03       2.335163312188e-02       3.331197132746e-04       2.065628240514e+00       1.441364304388e-07       1.446935127393e-03      -1.511701164768e-06 
   31       1.087891158386e+03       2.609510325898e-02       3.555709709033e-04       2.088941131136e+00       1.444394486351e-07       1.409958070224e-03      -1.302577719515e-06 
   32       1.103631392576e+03       2.906185141420e-02       3.787649474161e-04       2.101631455006e+00       1.446666891681e-07       1.373575119714e-03      -1.043968579371e-06 
   33       1.119759305114e+03       3.226521017930e-02       4.027028199122e-04       2.105014807221e+00       1.448471764435e-07       1.338198621442e-03      -8.045276699596e-07 
   34       1.136158532949e+03       3.571767375956e-02       4.273858563289e-04       2.100478186492e+00       1.449438931118e-07       1.303817949131e-03      -6.597630176787e-07 
   35       1.152844876432e+03       3.942521174057e-02       4.528153915429e-04       2.088039611446e+00       1.449893880071e-07       1.270984769359e-03      -6.225477319173e-07 
   36       1.169828905016e+03       4.339083021399e-02       4.789928608635e-04       2.067291976758e+00       1.449905679923e-07       1.240110316399e-03      -6.790824419417e-07 
   37       1.187086061480e+03       4.761684326867e-02       5.059197540491e-04       2.037699680727e+00       1.449074711092e-07       1.211239377962e-03      -8.056650518412e-07 
   38       1.204649163212e+03       5.210794160251e-02       5.335974004211e-04       1.998335231555e+00       1.447793082609e-07       1.184469897517e-03      -9.745067526009e-07 
   39       1.222537271647e+03       5.686901873674e-02       5.620271243484e-04       1.948038388102e+00       1.446425872544e-07       1.159572773432e-03      -1.147894057693e-06 
   40       1.240725025807e+03       6.190429360904e-02       5.912103091440e-04       1.885470813192e+00       1.444837350013e-07       1.135773168392e-03      -1.274701069374e-06 
   41       1.259165676421e+03       6.721776648699e-02       6.211482901858e-04       1.809383313152e+00       1.442546995653e-07       1.112052761025e-03      -1.304683127193e-06 
   42       1.277880301011e+03       7.281486984495e-02       6.518419805765e-04       1.719551764193e+00       1.439785735915e-07       1.088488677579e-03      -1.244300036193e-06 
   43       1.296889863306e+03       7.870128163804e-02       6.832921319271e-04       1.616125151223e+00       1.436813531085e-07       1.065391049451e-03      -1.124809698601e-06 
   44       1.316187405717e+03       8.488246321867e-02       7.154994329476e-04       1.499379107715e+00       1.433555724380e-07       1.042926826070e-03      -9.899190430951e-07 
   45       1.335750964877e+03       9.136332128434e-02       7.484644071677e-04       1.369650454376e+00       1.429728388687e-07       1.021156846858e-03      -8.860717492963e-07 
   46       1.355593327824e+03       9.814709515285e-02       7.821870762794e-04       1.227101102845e+00       1.425579323199e-07       1.000244587219e-03      -8.241698359252e-07 
   47       1.375722527440e+03       1.052361209821e-01       8.166671913509e-04       1.071895388731e+00       1.421397457169e-07       9.802861852014e-04      -8.035785299846e-07 
   48       1.396125729733e+03       1.126321041141e-01       8.519043152237e-04       9.042690605598e-01       1.417263962696e-07       9.612263807134e-04      -8.217210211641e-07 
   49       1.416767416144e+03       1.203360908281e-01       8.878978139646e-04       7.245320584221e-01       1.412989132140e-07       9.428328536562e-04      -8.738045783785e-07 
   50       1.437607287579e+03       1.283488281778e-01       9.246468526132e-04       5.329099568076e-01       1.408235650690e-07       9.247985826330e-04      -9.530555832501e-07 
   51       1.458663922882e+03       1.366720241820e-01       9.621504008910e-04       3.290111083367e-01       1.403147501842e-07       9.071642511114e-04      -1.052238142164e-06 
   52       1.479965257728e+03       1.453073808719e-01       1.000407214267e-03       1.122196652899e-01       1.397931612496e-07       8.900187570309e-04      -1.162252937958e-06 
   53       1.501529504614e+03       1.542562263576e-01       1.039415821651e-03      -1.181604254452e-01       1.392659806760e-07       8.733727268250e-04      -1.271426469265e-06 
   54       1.523364263236e+03       1.635195048433e-01       1.079174517050e-03      -3.629102359951e-01       1.387231675662e-07       8.571460061905e-04      -1.365252552141e-06 
   55       1.545471073682e+03       1.730976051066e-01       1.119681539382e-03      -6.227330149593e-01       1.381460809661e-07       8.412236867474e-04      -1.430212582860e-06 
   56       1.567862438607e+03       1.829898189078e-01       1.160935683354e-03      -8.977072598433e-01       1.375486576864e-07       8.256802274391e-04      -1.467563495530e-06 
   57       1.590547471496e+03       1.931947305499e-01       1.202935825725e-03      -1.187706207511e+00       1.369489896561e-07       8.106147762908e-04      -1.484152956742e-06 
   58       1.613526161535e+03       2.037103507049e-01       1.245680749443e-03      -1.492551905340e+00       1.363562674181e-07       7.960827660989e-04      -1.488954034283e-06 
   59       1.636788696055e+03       2.145341001364e-01       1.289169142634e-03      -1.812013492779e+00       1.357684925692e-07       7.820891298583e-04      -1.493269534528e-06 
   60       1.660314782971e+03       2.256627934221e-01       1.333399597587e-03      -2.145805482917e+00       1.351699812159e-07       7.685812198799e-04      -1.510943657204e-06 
   61       1.684082668968e+03       2.370928448757e-01       1.378370881924e-03      -2.493644115727e+00       1.345397100127e-07       7.554832438410e-04      -1.554948756776e-06 
   62       1.708100092321e+03       2.488209771532e-01       1.424082825525e-03      -2.855435086603e+00       1.338874528203e-07       7.428306162388e-04      -1.625274282721e-06 
   63       1.732379107048e+03       2.608436435401e-01       1.470535631789e-03      -3.231125097881e+00       1.332287343289e-07       7.306673932377e-04      -1.717377645146e-06 
   64       1.756926637647e+03       2.731568107414e-01       1.517729630488e-03      -3.620647627139e+00       1.325739806573e-07       7.190042513612e-04      -1.825357367201e-06 
   65       1.781744109176e+03       2.857559496546e-01       1.565665285390e-03      -4.023923051323e+00       1.319272559398e-07       7.078141641810e-04      -1.941833085382e-06 
   66       1.806827077330e+03       2.986360261421e-01       1.614343201878e-03      -4.440858770891e+00       1.312848926419e-07       6.970279121362e-04      -2.057821623188e-06 
   67       1.832164858524e+03       3.117914918037e-01       1.663764134575e-03      -4.871349333937e+00       1.306340122160e-07       6.865294254821e-04      -2.162609138154e-06 
   68       1.857746266130e+03       3.252160071939e-01       1.713928993034e-03      -5.315272799460e+00       1.299589158316e-07       6.761962003969e-04      -2.246056892230e-06 
   69       1.883578995775e+03       3.389015669730e-01       1.764838843127e-03      -5.772478693969e+00       1.292671369164e-07       6.660461121790e-04      -2.306644802438e-06 
   70       1.909673521522e+03       3.528391800973e-01       1.816494919633e-03      -6.242797826353e+00       1.285709017039e-07       6.561262691741e-04      -2.345621111939e-06 
   71       1.936037127334e+03       3.670191059084e-01       1.868898635625e-03      -6.726045860283e+00       1.278793843674e-07       6.464698690183e-04      -2.364821116290e-06 
   72       1.962673693323e+03       3.814308380627e-01       1.922051590045e-03      -7.222023342157e+00       1.271980004959e-07       6.370943811274e-04      -2.366717627991e-06 
   73       1.989583481995e+03       3.960630884612e-01       1.975955575276e-03      -7.730515729052e+00       1.265276465767e-07       6.279996636640e-04      -2.354472975107e-06 
   74       2.016762924501e+03       4.109037711791e-01       2.030612584715e-03      -8.251293416664e+00       1.258638839261e-07       6.191660149844e-04      -2.331992533968e-06 
   75       2.044204406881e+03       4.259399863956e-01       2.086024820343e-03      -8.784111767263e+00       1.251960655096e-07       6.105521595620e-04      -2.303979795940e-06 
   76       2.071900141940e+03       4.411589181799e-01       2.142194415294e-03      -9.328703939483e+00       1.245120538533e-07       6.021129334976e-04      -2.275016499506e-06 
   77       2.099855072516e+03       4.565507523790e-01       2.199122526412e-03      -9.884757806415e+00       1.238165883916e-07       5.938627172169e-04      -2.246380980479e-06 
   78       2.128075943773e+03       4.721062640965e-01       2.256810089205e-03      -1.045193485963e+01       1.231178211455e-07       5.858254782005e-04      -2.218466699676e-06 
   79       2.156567298441e+03       4.878159536663e-01       2.315258089870e-03      -1.102987691623e+01       1.224218498470e-07       5.780154875219e-04      -2.191683669000e-06 
   80       2.185331346843e+03       5.036700493214e-01       2.374467567026e-03      -1.161820599916e+01       1.217323053790e-07       5.704362576662e-04      -2.166457976468e-06 
   81       2.214367836923e+03       5.196585098637e-01       2.434439613435e-03      -1.221652421755e+01       1.210499111242e-07       5.630794466169e-04      -2.143231274839e-06 
   82       2.243673924269e+03       5.357710273323e-01       2.495175377737e-03      -1.282441364712e+01       1.203720134987e-07       5.559237282092e-04      -2.122460233820e-06 
   83       2.273244042142e+03       5.519970296732e-01       2.556676066172e-03      -1.344143621043e+01       1.196920829427e-07       5.489336287507e-04      -2.104615955865e-06 
   84       2.303072255242e+03       5.683253101647e-01       2.618942984057e-03      -1.406714815360e+01       1.190028536889e-07       5.420723913818e-04      -2.090087051706e-06 
   85       2.333160054049e+03       5.847428392629e-01       2.681977664297e-03      -1.470114649573e+01       1.183081849985e-07       5.353469710289e-04      -2.078862393239e-06 
   86       2.363509620327e+03       6.012357597633e-01       2.745781763446e-03      -1.534303009620e+01       1.176141076456e-07       5.287719806568e-04      -2.070768683278e-06 
   87       2.394121371338e+03       6.177897389802e-01       2.810357026217e-03      -1.599238586685e+01       1.169252534010e-07       5.223560322980e-04      -2.065554381084e-06 
   88       2.424993871614e+03       6.343899651433e-01       2.875705287881e-03      -1.664878889761e+01       1.162446031847e-07       5.161011475663e-04      -2.062883850495e-06 
   89       2.456123744723e+03       6.510211437932e-01       2.941828476661e-03      -1.731180258218e+01       1.155732197128e-07       5.100021512188e-04      -2.062331356714e-06 
   90       2.487505585045e+03       6.676674941777e-01       3.008728616126e-03      -1.798097874369e+01       1.149099642761e-07       5.040460477656e-04      -2.063374911762e-06 
   91       2.519131869536e+03       6.843127456481e-01       3.076407827594e-03      -1.865585776032e+01       1.142511972868e-07       4.982113811284e-04      -2.065389968578e-06 
   92       2.550992869501e+03       7.009401340553e-01       3.144868332522e-03      -1.933596869102e+01       1.135904622296e-07       4.924675773469e-04      -2.067642963792e-06 
   93       2.583079317878e+03       7.175329745564e-01       3.214112783785e-03      -2.002083138557e+01       1.129211485443e-07       4.867854321768e-04      -2.069452034245e-06 
   94       2.615391061622e+03       7.340764864125e-01       3.284145311304e-03      -2.070996290489e+01       1.122461708978e-07       4.811728013298e-04      -2.070725644382e-06 
   95       2.647929553566e+03       7.505562372544e-01       3.354970638844e-03      -2.140287230320e+01       1.115705502948e-07       4.756456836901e-04      -2.071532804633e-06 
   96       2.680695163125e+03       7.669575953766e-01       3.426593775959e-03      -2.209905888045e+01       1.108985377778e-07       4.702175049359e-04      -2.071946231423e-06 
   97       2.713687125895e+03       7.832657340455e-01       3.499020024908e-03      -2.279801233520e+01       1.102334782119e-07       4.648988548087e-04      -2.072042318649e-06 
   98       2.746903493242e+03       7.994656358079e-01       3.572254987559e-03      -2.349921291757e+01       1.095776663287e-07       4.596972172623e-04      -2.071901105203e-06 
   99       2.780341081900e+03       8.155420967994e-01       3.646304572309e-03      -2.420213158210e+01       1.089321948620e-07       4.546166934938e-04      -2.071606238544e-06 
  100       2.813995423563e+03       8.314797310526e-01       3.721175000983e-03      -2.490623014067e+01       1.082967946107e-07       4.496577178536e-04      -2.071244934333e-06 
  101       2.847860714481e+03       8.472629748060e-01       3.796872815755e-03      -2.561096141537e+01       1.076696662622e-07       4.448167666369e-04      -2.070907932102e-06 
  102       2.881929765055e+03       8.628760908117e-01       3.873404886054e-03      -2.631576939145e+01       1.070473038100e-07       4.400860597551e-04      -2.070689446992e-06 
  103       2.916193949429e+03       8.783031726443e-01       3.950778415472e-03      -2.702008937016e+01       1.064243094005e-07       4.354532552878e-04      -2.070687117528e-06 
  104       2.950644822612e+03       8.935284716969e-01       4.029000483257e-03      -2.772335273316e+01       1.057953962270e-07       4.309061968994e-04      -2.070981297902e-06 
  105       2.985279329187e+03       9.085374191964e-01       4.108076583337e-03      -2.842500163914e+01       1.051624585231e-07       4.264489473878e-04      -2.071568254614e-06 
  106       3.020095207530e+03       9.233157509226e-01       4.188011899903e-03      -2.912447660682e+01       1.045290300363e-07       4.220884109593e-04      -2.072413367744e-06 
  107       3.055089353418e+03       9.378492046082e-01       4.268811756982e-03      -2.982121228182e+01       1.038981800024e-07       4.178293943337e-04      -2.073469857418e-06 
  108       3.090257787951e+03       9.521235277935e-01       4.350481620235e-03      -3.051463764026e+01       1.032724387678e-07       4.136744388981e-04      -2.074678004957e-06 
  109       3.125595625469e+03       9.661244856810e-01       4.433027098749e-03      -3.120417619238e+01       1.026537196140e-07       4.096236489342e-04      -2.075964357047e-06 
  110       3.161097041474e+03       9.798378689894e-01       4.516453946839e-03      -3.188924618603e+01       1.020432367116e-07       4.056745159192e-04      -2.077240912935e-06 
  111       3.196755240543e+03       9.932495018081e-01       4.600768065841e-03      -3.256926081034e+01       1.014414191295e-07       4.018217388993e-04      -2.078404294632e-06 
  112       3.232562424254e+03       1.006345249452e+00       4.685975505906e-03      -3.324362839919e+01       1.008478208268e-07       3.980570409362e-04      -2.079334900157e-06 
  113       3.268509759098e+03       1.019111026315e+00       4.772082467799e-03      -3.391175263490e+01       1.002610265545e-07       3.943689816270e-04      -2.079896039783e-06 
  114       3.304587344403e+03       1.031532803727e+00       4.859095304696e-03      -3.457303275169e+01       9.967855359286e-08       3.907427656972e-04      -2.079933055317e-06 
  115       3.340784180251e+03       1.043596617803e+00       4.947020523977e-03      -3.522686373936e+01       9.909674925207e-08       3.871600476668e-04      -2.079272422397e-06 
  116       3.377089601429e+03       1.055288975528e+00       5.035864667646e-03      -3.587264340880e+01       9.851213392903e-08       3.836040356349e-04      -2.077757079210e-06 
  117       3.413497845654e+03       1.066598112200e+00       5.125633933251e-03      -3.650979412827e+01       9.792604292399e-08       3.800762991278e-04      -2.075361755902e-06 
  118       3.450003983103e+03       1.077512902330e+00       5.216334510032e-03      -3.713774412445e+01       9.734090237173e-08       3.765826450100e-04      -2.072096911075e-06 
  119       3.486602481162e+03       1.088022486344e+00       5.307972696893e-03      -3.775592111825e+01       9.675883580738e-08       3.731280149386e-04      -2.067974335430e-06 
  120       3.523287185309e+03       1.098116281962e+00       5.400554903122e-03      -3.836375258907e+01       9.618162166443e-08       3.697164158905e-04      -2.063007163548e-06 
  121       3.560051299994e+03       1.107783995572e+00       5.494087649114e-03      -3.896066603904e+01       9.561064883380e-08       3.663508491767e-04      -2.057209885200e-06 
