# Matter power spectrum P(k) at redshift z=0
# for k=9.85867e-06 to 1.02742 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.858668386027e-06       6.073443013552e+01 
       2.201283578767e-05       1.315240756433e+02 
       3.420506354925e-05       2.009662284176e+02 
       4.646455101648e-05       2.698217520083e+02 
       5.882092791495e-05       3.385100737219e+02 
       7.130448967534e-05       4.073369898107e+02 
       8.394643949053e-05       4.765580825470e+02 
       9.677913999573e-05       5.464044202395e+02 
       1.098363774863e-04       6.170954615904e+02 
       1.231536416152e-04       6.888466581212e+02 
       1.367684235297e-04       7.618745276914e+02 
       1.507205353933e-04       8.364004487349e+02 
       1.650524541719e-04       9.126537503953e+02 
       1.798096924036e-04       9.908744416584e+02 
       1.950411983721e-04       1.071315734298e+03 
       2.107997876048e-04       1.154246487546e+03 
       2.271426068348e-04       1.239953619839e+03 
       2.441316303925e-04       1.328744521062e+03 
       2.618341873046e-04       1.420949471570e+03 
       2.803235149992e-04       1.516924061541e+03 
       2.996793322699e-04       1.617051543449e+03 
       3.199884198004e-04       1.721745097242e+03 
       3.413451908781e-04       1.831449847442e+03 
       3.638522276990e-04       1.946644557987e+03 
       3.876207497383e-04       2.067842768467e+03 
       4.127709700005e-04       2.195593166861e+03 
       4.394322828179e-04       2.330478911847e+03 
       4.677432138504e-04       2.473115531093e+03 
       4.978510503089e-04       2.624147027929e+03 
       5.299110591756e-04       2.784239764222e+03 
       5.640851963013e-04       2.954073692998e+03 
       6.005402136063e-04       3.134330577281e+03 
       6.394450897231e-04       3.325678953899e+03 
       6.809677457130e-04       3.528755832918e+03 
       7.252710649362e-04       3.744145387491e+03 
       7.725083144804e-04       3.972355425159e+03 
       8.228181592779e-04       4.213792658311e+03 
       8.763195571464e-04       4.468738543863e+03 
       9.331069052925e-04       4.737327599643e+03 
       9.932458548657e-04       5.019530235718e+03 
       1.056770200802e-03       5.315142299177e+03 
       1.123680179550e-03       5.623782627795e+03 
       1.193942372285e-03       5.944899381825e+03 
       1.267491237008e-03       6.277784943262e+03 
       1.344232112326e-03       6.621565257711e+03 
       1.424045383796e-03       6.975309811516e+03 
       1.506791407674e-03       7.338004095244e+03 
       1.592315758343e-03       7.708576222293e+03 
       1.680454399803e-03       8.085936102731e+03 
       1.771038460780e-03       8.469000590985e+03 
       1.863898394539e-03       8.856714186548e+03 
       1.958867406920e-03       9.248066202173e+03 
       2.055784124423e-03       9.642102238192e+03 
       2.154494540107e-03       1.003793350253e+04 
       2.254853317453e-03       1.043473977783e+04 
       2.356724553682e-03       1.083177163427e+04 
       2.459982109368e-03       1.122835028597e+04 
       2.564509605673e-03       1.162386355798e+04 
       2.670200178808e-03       1.201776448068e+04 
       2.776956066899e-03       1.240956598292e+04 
       2.884688089654e-03       1.279883611011e+04 
       2.993315067595e-03       1.318519367186e+04 
       3.102763215765e-03       1.356830397929e+04 
       3.212965537035e-03       1.394787356122e+04 
       3.323861232354e-03       1.432364686081e+04 
       3.435395139254e-03       1.469540094230e+04 
       3.547517205403e-03       1.506294312236e+04 
       3.660182000720e-03       1.542610934546e+04 
       3.773348269208e-03       1.578475900146e+04 
       3.886978520057e-03       1.613876914287e+04 
       4.001038656529e-03       1.648804479202e+04 
       4.115497640469e-03       1.683249767981e+04 
       4.230327189955e-03       1.717206303498e+04 
       4.345501507404e-03       1.750668855389e+04 
       4.460997035484e-03       1.783631864083e+04 
       4.576792238216e-03       1.816092495176e+04 
       4.692867404815e-03       1.848053592481e+04 
       4.809204473961e-03       1.879507828477e+04 
       4.925786876386e-03       1.910459547726e+04 
       5.042599393850e-03       1.940904945877e+04 
       5.159628032750e-03       1.970846210808e+04 
       5.276859910788e-03       2.000284496563e+04 
       5.394283155285e-03       2.029221243554e+04 
       5.511886811872e-03       2.057657556824e+04 
       5.629660762442e-03       2.085598118100e+04 
       5.747595651341e-03       2.113045251571e+04 
