# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.681103659474e-10       5.712069701991e-15       4.428237365139e-13       0.000000000000e+00       8.360334687877e-09       5.279883249889e-10      -2.196870474424e-12 
    3       1.571203274782e-10       8.250263961985e-15       5.279352556158e-13       0.000000000000e+00       5.143724806815e-09       3.740427199332e-10      -1.784059986452e-12 
    4       1.467607210441e-10       8.094251682952e-15       5.182437090116e-13       0.000000000000e+00       3.584005797064e-09       2.832315172813e-10      -1.279972071139e-12 
    5       1.386588539349e-10       6.170467582843e-15       4.607230891721e-13       0.000000000000e+00       2.680331680687e-09       2.237128909766e-10      -8.185398494332e-13 
    6       1.326948457209e-10       3.879606840876e-15       3.849727909079e-13       0.000000000000e+00       2.097122057636e-09       1.820567861038e-10      -4.429047857055e-13 
    7       1.284217253510e-10       2.160869957655e-15       3.097185937248e-13       0.000000000000e+00       1.694118459082e-09       1.515259861987e-10      -1.674032621816e-13 
    8       1.253827880702e-10       1.241003614134e-15       2.450553441458e-13       0.000000000000e+00       1.401393353493e-09       1.283012497793e-10       1.032462465695e-14 
    9       1.233139689498e-10       8.872035738997e-16       1.954751653869e-13       0.000000000000e+00       1.180684257530e-09       1.101562697210e-10       1.032675822351e-13 
   10       1.220136515845e-10       7.694864524990e-16       1.618137927289e-13       0.000000000000e+00       1.009609714896e-09       9.574769967050e-11       1.307364375672e-13 
   11       1.212502307322e-10       6.839725466663e-16       1.426581474703e-13       0.000000000000e+00       8.529462742911e-10       8.433597235568e-11       1.143607241813e-13 
   12       1.209514910783e-10       5.843365034466e-16       1.351884432277e-13       0.000000000000e+00       7.458910757538e-10       7.474710046698e-11       7.522813175556e-14 
   13       1.210070128729e-10       5.032332010269e-16       1.359839868497e-13       0.000000000000e+00       6.579476144675e-10       6.660671786284e-11       2.967191606162e-14 
   14       1.212836072682e-10       4.702001736531e-16       1.419098975754e-13       0.000000000000e+00       5.847210318548e-10       5.977659448557e-11      -1.006924111059e-14 
   15       1.218610825707e-10       4.813536699769e-16       1.504538531759e-13       0.000000000000e+00       5.230474834086e-10       5.403023149994e-11      -3.724746112378e-14 
   16       1.226091698576e-10       5.141380852068e-16       1.598474194016e-13       0.000000000000e+00       4.705793697810e-10       4.909418679674e-11      -4.995290208976e-14 
   17       1.235322227264e-10       5.526825586489e-16       1.690752828305e-13       0.000000000000e+00       4.255426702608e-10       4.469248551163e-11      -5.003834582679e-14 
   18       1.245941284033e-10       5.989838720205e-16       1.777615858763e-13       0.000000000000e+00       3.864297844416e-10       4.082377148699e-11      -4.139076160379e-14 
   19       1.257888113611e-10       6.636108262007e-16       1.860570731979e-13       0.000000000000e+00       3.526263464563e-10       3.747318734222e-11      -2.811622833517e-14 
   20       1.270676756709e-10       7.582708221844e-16       1.942893390409e-13       0.000000000000e+00       3.228386709785e-10       3.450734083768e-11      -1.509984168090e-14 
   21       1.284474166449e-10       8.840344705471e-16       2.027656342939e-13       0.000000000000e+00       2.966033506489e-10       3.187832799294e-11      -5.033853399943e-15 
   22       1.299283761062e-10       1.037300342164e-15       2.117637509539e-13       0.000000000000e+00       2.732959679064e-10       2.952507460476e-11       2.681254188961e-16 
   23       1.315035526999e-10       1.215445720828e-15       2.213137378818e-13       0.000000000000e+00       2.525988158941e-10       2.742787452370e-11       8.108170819376e-16 
   24       1.331417426240e-10       1.415922409467e-15       2.312826529364e-13       0.000000000000e+00       2.340364030612e-10       2.555168294472e-11      -2.420577574545e-15 
   25       1.348541797900e-10       1.639268019209e-15       2.413250599975e-13       0.000000000000e+00       2.173927991644e-10       2.386286358432e-11      -7.881074904631e-15 
   26       1.366449362103e-10       1.886482287711e-15       2.509630941069e-13       0.000000000000e+00       2.023691970764e-10       2.231473538036e-11      -1.361445950707e-14 
   27       1.385000111480e-10       2.156343561977e-15       2.597689838236e-13       0.000000000000e+00       1.887869578513e-10       2.090183954362e-11      -1.816541253647e-14 
   28       1.403910944897e-10       2.447192961837e-15       2.673333178778e-13       0.000000000000e+00       1.764133625556e-10       1.962058484322e-11      -2.033460097329e-14 
   29       1.423291221663e-10       2.760447249858e-15       2.734913416918e-13       0.000000000000e+00       1.651860895460e-10       1.846341938086e-11      -2.015444986509e-14 
