# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.681108757807e-10       5.712353181831e-15       4.428237316346e-13       2.834798028992e-19       8.360334687877e-09       5.279883249889e-10      -2.196870474424e-12 
    3       1.571213453654e-10       8.250831066393e-15       5.279352338817e-13       5.671040383095e-19       5.143724806815e-09       3.740427199332e-10      -1.784059986452e-12 
    4       1.467624136097e-10       8.095197175152e-15       5.182436466028e-13       9.454903868035e-19       3.584005797064e-09       2.832315172813e-10      -1.279972071139e-12 
    5       1.386613855441e-10       6.171886409541e-15       4.607229471156e-13       1.418820512518e-18       2.680331680687e-09       2.237128909766e-10      -8.185398494332e-13 
    6       1.326983780084e-10       3.881594170112e-15       3.849725118532e-13       1.987312436126e-18       2.097122057636e-09       1.820567861038e-10      -4.429047857055e-13 
    7       1.284264168091e-10       2.163521211530e-15       3.097180990587e-13       2.651214987759e-18       1.694118459082e-09       1.515259861987e-10      -1.674032621816e-13 
    8       1.253887937014e-10       1.244414495646e-15       2.450545314926e-13       3.410801617653e-18       1.401393353493e-09       1.283012497793e-10       1.032462465695e-14 
    9       1.233214399906e-10       8.914700872140e-16       1.954739065209e-13       4.266363788142e-18       1.180684257530e-09       1.101562697210e-10       1.032675822351e-13 
   10       1.220227353018e-10       7.747049161292e-16       1.618119319161e-13       5.218204183755e-18       1.009609714896e-09       9.574769967050e-11       1.307364375672e-13 
   11       1.212610702946e-10       6.902395991905e-16       1.426555002407e-13       6.266629979960e-18       8.529462742911e-10       8.433597235568e-11       1.143607241813e-13 
   12       1.209642254987e-10       5.917491015481e-16       1.351847955673e-13       7.411946405514e-18       7.458910757538e-10       7.474710046698e-11       7.522813175556e-14 
   13       1.210217770197e-10       5.118886098164e-16       1.359790947898e-13       8.654450818524e-18       6.579476144675e-10       6.660671786284e-11       2.967191606162e-14 
   14       1.213005319388e-10       4.801959493996e-16       1.419034871477e-13       9.994427493047e-18       5.847210318548e-10       5.977659448557e-11      -1.006924111059e-14 
   15       1.218802946187e-10       4.927876355455e-16       1.504456206923e-13       1.143214328203e-17       5.230474834086e-10       5.403023149994e-11      -3.724746112378e-14 
   16       1.226307923663e-10       5.271082986647e-16       1.598370320144e-13       1.296784428518e-17       4.705793697810e-10       4.909418679674e-11      -4.995290208976e-14 
   17       1.235563752162e-10       5.672872756495e-16       1.690623793242e-13       1.460175360820e-17       4.255426702608e-10       4.469248551163e-11      -5.003834582679e-14 
   18       1.246209270686e-10       6.153215025000e-16       1.777457776653e-13       1.633406973577e-17       3.864297844416e-10       4.082377148699e-11      -4.139076160379e-14 
   19       1.258183692965e-10       6.817798875190e-16       1.860379453525e-13       1.816496914552e-17       3.526263464563e-10       3.747318734222e-11      -2.811622833517e-14 
   20       1.271001031502e-10       7.783698861310e-16       1.942664516528e-13       2.009460171323e-17       3.228386709785e-10       3.450734083768e-11      -1.509984168090e-14 
   21       1.284828213207e-10       9.061621114551e-16       2.027385235872e-13       2.212310048594e-17       2.966033506489e-10       3.187832799294e-11      -5.033853399943e-15 
   22       1.299668632694e-10       1.061555078514e-15       2.117319307721e-13       2.425057638333e-17       2.732959679064e-10       2.952507460476e-11       2.681254188961e-16 
   23       1.315452254279e-10       1.241925961998e-15       2.212767008684e-13       2.647713042301e-17       2.525988158941e-10       2.742787452370e-11       8.108170819376e-16 
   24       1.331867019896e-10       1.444726395727e-15       2.312398720998e-13       2.880284836858e-17       2.340364030612e-10       2.555168294472e-11      -2.420577574545e-15 
   25       1.349025249236e-10       1.670493771744e-15       2.412759899592e-13       3.122781560772e-17       2.173927991644e-10       2.386286358432e-11      -7.881074904631e-15 
   26       1.366967644358e-10       1.920227550140e-15       2.509071727532e-13       3.375211068025e-17       2.023691970764e-10       2.231473538036e-11      -1.361445950707e-14 
   27       1.385554179805e-10       2.192705752745e-15       2.597056337688e-13       3.637581855870e-17       1.887869578513e-10       2.090183954362e-11      -1.816541253647e-14 
   28       1.404501736804e-10       2.486269120802e-15       2.672619483006e-13       3.909902634265e-17       1.764133625556e-10       1.962058484322e-11      -2.033460097329e-14 
   29       1.423919655390e-10       2.802334006468e-15       2.734113501705e-13       4.192184004948e-17       1.651860895460e-10       1.846341938086e-11      -2.015444986509e-14 
   30       1.443924363215e-10       3.143582671251e-15       2.780736194438e-13       4.484437352353e-17       1.549854090740e-10       1.740850191245e-11      -1.818772114913e-14 
   31       1.464512471509e-10       3.512906955212e-15       2.812119866232e-13       4.786674819261e-17       1.456042828983e-10       1.642495450223e-11      -1.517405391727e-14 
   32       1.485701879198e-10       3.912288790395e-15       2.829203503168e-13       5.098910722688e-17       1.369949708031e-10       1.550865982917e-11      -1.178716281145e-14 
   33       1.507413177123e-10       4.343523002204e-15       2.833758151376e-13       5.421160908671e-17       1.290973052082e-10       1.465810955609e-11      -8.812484588029e-15 
   34       1.529489718055e-10       4.808291552967e-15       2.827650980098e-13       5.753442446105e-17       1.218015908503e-10       1.386747170556e-11      -7.017271840851e-15 
   35       1.551952772329e-10       5.307398064674e-15       2.810906245901e-13       6.095773305021e-17       1.150709428628e-10       1.313738378913e-11      -6.434891021850e-15 
   36       1.574816568479e-10       5.841247215557e-15       2.782975906067e-13       6.448172807462e-17       1.088517777720e-10       1.246700178333e-11      -6.826910398830e-15 
   37       1.598048047721e-10       6.410150526851e-15       2.743138936842e-13       6.810661008467e-17       1.030636352128e-10       1.185198613629e-11      -7.883438400905e-15 
   38       1.621691388625e-10       7.014739457461e-15       2.690146754395e-13       7.183255803280e-17       9.769184093178e-11       1.128895494438e-11      -9.287836563993e-15 
   39       1.645772251580e-10       7.655672770241e-15       2.622437449152e-13       7.565975020475e-17       9.271960721433e-11       1.077183082603e-11      -1.066334160215e-14 
   40       1.670256495791e-10       8.333518416023e-15       2.538209359733e-13       7.958837282127e-17       8.809983841541e-11       1.029019238214e-11      -1.154888986518e-14 
   41       1.695081187672e-10       9.048814908396e-15       2.435780829199e-13       8.361860565013e-17       8.377160253504e-11       9.832470063128e-12      -1.153565571671e-14 
   42       1.720274701655e-10       9.802293563763e-15       2.314850143467e-13       8.775057161266e-17       7.972235525551e-11       9.397641130811e-12      -1.074286342160e-14 
   43       1.745865258986e-10       1.059471874499e-14       2.175617865114e-13       9.198437189026e-17       7.594151855627e-11       8.986742367317e-12      -9.487948090797e-15 
   44       1.771843493401e-10       1.142682565603e-14       2.018455050251e-13       9.632009919667e-17       7.240180426159e-11       8.599536754058e-12      -8.162456829994e-15 
   45       1.798179837949e-10       1.229927483351e-14       1.843815124867e-13       1.007578240091e-16       6.906900428441e-11       8.234952425760e-12      -7.145580743761e-15 
   46       1.824891506461e-10       1.321250235244e-14       1.651916053426e-13       1.052975492478e-16       6.593798904714e-11       7.892819638695e-12      -6.503433209968e-15 
   47       1.851989312755e-10       1.416682270496e-14       1.442979063529e-13       1.099392414017e-16       6.300520643480e-11       7.572462796389e-12      -6.207440861808e-15 
   48       1.879455979789e-10       1.516246546318e-14       1.217321518408e-13       1.146828416207e-16       6.025782154318e-11       7.272116645138e-12      -6.216694876010e-15 
   49       1.907243692694e-10       1.619957147660e-14       9.753606575324e-14       1.195282645652e-16       5.767302580165e-11       6.988846128844e-12      -6.477166892610e-15 
   50       1.935298201077e-10       1.727824131311e-14       7.174001479098e-14       1.244753978332e-16       5.522492747803e-11       6.719405939038e-12      -6.924715788481e-15 
   51       1.963644515660e-10       1.839870490517e-14       4.429127562162e-14       1.295241027294e-16       5.290903098953e-11       6.463280157732e-12      -7.496889231607e-15 
   52       1.992320243284e-10       1.956119137920e-14       1.510694319911e-14       1.346742117157e-16       5.072320800058e-11       6.220329155432e-12      -8.122970194564e-15 
   53       2.021349901499e-10       2.076587952454e-14      -1.590668472387e-14       1.399255267549e-16       4.866037060658e-11       5.989886936304e-12      -8.719874762299e-15 
   54       2.050743720970e-10       2.201289644943e-14      -4.885475560272e-14       1.452778181871e-16       4.670813722767e-11       5.770725213958e-12      -9.191546445017e-15 
   55       2.080503774957e-10       2.330229449084e-14      -8.383194033687e-14       1.507308489367e-16       4.485262369029e-11       5.561474473657e-12      -9.455381365015e-15 
   56       2.110646894453e-10       2.463397830599e-14      -1.208488062128e-13       1.562844567479e-16       4.309168473884e-11       5.362091948866e-12      -9.530578718393e-15 
   57       2.141185347979e-10       2.600775731460e-14      -1.598882884543e-13       1.619384904104e-16       4.142437678648e-11       5.172695397512e-12      -9.470677556200e-15 
   58       2.172119120978e-10       2.742336371456e-14      -2.009264311871e-13       1.676927860857e-16       3.984695132031e-11       4.993120341156e-12      -9.338886598510e-15 
   59       2.203435003694e-10       2.888045029062e-14      -2.439321561042e-13       1.735471671699e-16       3.835268151673e-11       4.822901945444e-12      -9.208531698238e-15 
   60       2.235105679045e-10       3.037858822315e-14      -2.888670311308e-13       1.795014441581e-16       3.693168885679e-11       4.661256900563e-12      -9.163503304965e-15 
   61       2.267101862850e-10       3.191729480926e-14      -3.356928566645e-13       1.855554511479e-16       3.557369381616e-11       4.507314765119e-12      -9.277033670243e-15 
   62       2.299433972329e-10       3.349612885489e-14      -3.843969374765e-13       1.917091652382e-16       3.427738167442e-11       4.360913669915e-12      -9.541449533635e-15 
   63       2.332118234527e-10       3.511461290346e-14      -4.349720986677e-13       1.979626138103e-16       3.304284085539e-11       4.221951877792e-12      -9.923373946761e-15 
   64       2.365163971162e-10       3.677220399528e-14      -4.874093850298e-13       2.043158412581e-16       3.186874535031e-11       4.090144078430e-12      -1.038376979321e-14 
   65       2.398573100637e-10       3.846829242531e-14      -5.416980777560e-13       2.107689100134e-16       3.075227411185e-11       3.965011184089e-12      -1.087769967147e-14 
   66       2.432339640056e-10       4.020220050099e-14      -5.978257111518e-13       2.173219015727e-16       2.968903044818e-11       3.845870125341e-12      -1.135408577778e-14 
   67       2.466449207244e-10       4.197318130008e-14      -6.557780893459e-13       2.239749175229e-16       2.867296141703e-11       3.731823646813e-12      -1.175546978909e-14 
   68       2.500886742827e-10       4.378038141025e-14      -7.155387967147e-13       2.307280803074e-16       2.769797865123e-11       3.621992427622e-12      -1.203082929317e-14 
   69       2.535662606613e-10       4.562272315753e-14      -7.770875766081e-13       2.375815334134e-16       2.676338238434e-11       3.516288868779e-12      -1.217757944192e-14 
   70       2.570790898722e-10       4.749899617311e-14      -8.404016526217e-13       2.445354430659e-16       2.586939672111e-11       3.414782484501e-12      -1.220768968511e-14 
   71       2.606281424781e-10       4.940788917545e-14      -9.054562095107e-13       2.515899994921e-16       2.501552902336e-11       3.317467515322e-12      -1.213547236897e-14 
   72       2.642139408172e-10       5.134798780695e-14      -9.722243969524e-13       2.587454179405e-16       2.420053281885e-11       3.224258921400e-12      -1.197767654610e-14 
   73       2.678365202281e-10       5.331777247057e-14      -1.040677333309e-12       2.660019397007e-16       2.342237071024e-11       3.134988375811e-12      -1.175358178547e-14 
   74       2.714954002743e-10       5.531561616646e-14      -1.110784109387e-12       2.733598331225e-16       2.267817728398e-11       3.049400257857e-12      -1.148509198229e-14 
   75       2.751895559692e-10       5.733978232860e-14      -1.182511792206e-12       2.808193946352e-16       2.196422201922e-11       2.967147646362e-12      -1.119682916803e-14 
   76       2.789179390053e-10       5.938854568414e-14      -1.255824459742e-12       2.883809114001e-16       2.127683763727e-11       2.887883111328e-12      -1.091154393371e-14 
   77       2.826812147847e-10       6.146058505777e-14      -1.330680093661e-12       2.960445391508e-16       2.061548258269e-11       2.811559059863e-12      -1.063517310393e-14 
   78       2.864802913370e-10       6.355465859953e-14      -1.407033124163e-12       3.038104038248e-16       1.998017220796e-11       2.738175134879e-12      -1.036921503187e-14 
   79       2.903157802018e-10       6.566948747015e-14      -1.484835332883e-12       3.116786381836e-16       1.937054586187e-11       2.667686246143e-12      -1.011516906710e-14 
   80       2.941879789316e-10       6.780375620030e-14      -1.564035836780e-12       3.196493820450e-16       1.878584959553e-11       2.600000507496e-12      -9.874533328806e-15 
   81       2.980968535945e-10       6.995611304996e-14      -1.644581072029e-12       3.277227825162e-16       1.822491886845e-11       2.534977174068e-12      -9.648802479127e-15 
   82       3.020420212777e-10       7.212517036772e-14      -1.726414777914e-12       3.358989942264e-16       1.768616125459e-11       2.472424579500e-12      -9.439465496482e-15 
   83       3.060227325901e-10       7.430950495007e-14      -1.809477980718e-12       3.441781795591e-16       1.716753914841e-11       2.412098073158e-12      -9.248003448857e-15 
   84       3.100381885253e-10       7.650760815495e-14      -1.893710942561e-12       3.525605142349e-16       1.666706634298e-11       2.353759014356e-12      -9.075469101467e-15 
   85       3.140885897308e-10       7.871772595307e-14      -1.979059414401e-12       3.610462046127e-16       1.618443023236e-11       2.297367510487e-12      -8.921150542460e-15 
   86       3.181742299142e-10       8.093799289597e-14      -2.065469394930e-12       3.696354736970e-16       1.571960807881e-11       2.242917997339e-12      -8.783680902078e-15 
   87       3.222951652472e-10       8.316647952622e-14      -2.152885274472e-12       3.783285563598e-16       1.527236852156e-11       2.190380001650e-12      -8.661427702374e-15 
   88       3.264512024879e-10       8.540119189228e-14      -2.241249851892e-12       3.871256996641e-16       1.484226291940e-11       2.139697104493e-12      -8.552483602534e-15 
   89       3.306418871031e-10       8.764007106331e-14      -2.330504351513e-12       3.960271631862e-16       1.442861669323e-11       2.090785904659e-12      -8.454657144190e-15 
   90       3.348664913915e-10       8.988099264405e-14      -2.420588440036e-12       4.050332193378e-16       1.403052066863e-11       2.043534982044e-12      -8.365463496737e-15 
   91       3.391240026055e-10       9.212176628965e-14      -2.511440243454e-12       4.141441536893e-16       1.364682241840e-11       1.997803861038e-12      -8.282115202646e-15 
   92       3.434131110741e-10       9.436013522050e-14      -2.602996363967e-12       4.233602652919e-16       1.327611760514e-11       1.953421973905e-12      -8.201512922783e-15 
