# Matter power spectrum P(k) at redshift z=0
# for k=1.04657e-05 to 1.09063 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.046574090610e-05       5.218766880621e+01 
       2.334728171077e-05       1.129154238113e+02 
       3.627416802797e-05       1.725105393512e+02 
       4.928118406093e-05       2.316420639744e+02 
       6.240368975809e-05       2.906867313490e+02 
       7.567793613661e-05       3.499244378905e+02 
       8.914139069423e-05       4.095929387028e+02 
       1.028330772376e-04       4.699101920786e+02 
       1.167939344887e-04       5.310857737349e+02 
       1.310671978636e-04       5.933277309978e+02 
       1.456988088257e-04       6.568473128544e+02 
       1.607378561532e-04       7.218626207806e+02 
       1.762370532845e-04       7.886017005297e+02 
       1.922532555313e-04       8.573053492336e+02 
       2.088480202930e-04       9.282297873213e+02 
       2.260882123226e-04       1.001649295739e+03 
       2.440466544289e-04       1.077858849014e+03 
       2.628028215188e-04       1.157176764143e+03 
       2.824435723253e-04       1.239947348110e+03 
       3.030639081954e-04       1.326543511061e+03 
       3.247677415487e-04       1.417369239990e+03 
       3.476686476586e-04       1.512861823716e+03 
       3.718905618786e-04       1.613493692459e+03 
       3.975683700755e-04       1.719773557594e+03 
       4.248483228716e-04       1.832246647311e+03 
       4.538881848661e-04       1.951493601957e+03 
       4.848570096685e-04       2.078127623235e+03 
       5.179344128887e-04       2.212789343429e+03 
       5.533092023142e-04       2.356138945527e+03 
       5.911772232411e-04       2.508844945419e+03 
       6.317382947140e-04       2.671569417043e+03 
       6.751921572179e-04       2.844949313778e+03 
       7.217334305783e-04       3.029574276136e+03 
       7.715456942059e-04       3.225961479655e+03 
       8.247949436262e-04       3.434528977868e+03 
       8.816228292182e-04       3.655569215198e+03 
       9.421402153076e-04       3.889225177378e+03 
       1.006421673373e-03       4.135471723395e+03 
       1.074501508531e-03       4.394104379656e+03 
       1.146371796607e-03       4.664737450256e+03 
       1.221982690137e-03       4.946812026091e+03 
       1.301244974870e-03       5.239613616945e+03 
       1.384034582413e-03       5.542282839442e+03 
       1.470198548750e-03       5.853860796328e+03 
       1.559561792893e-03       6.173360719214e+03 
       1.651934085626e-03       6.499735092998e+03 
       1.747116666842e-03       6.831930338836e+03 
       1.844908115598e-03       7.168911645269e+03 
       1.945109239941e-03       7.509682726587e+03 
       2.047526902125e-03       7.853300796920e+03 
       2.151976810139e-03       8.198886482266e+03 
       2.258285382468e-03       8.545629815718e+03 
       2.366290832895e-03       8.892793056889e+03 
       2.475843633831e-03       9.239709524474e+03 
       2.586806509349e-03       9.585782473830e+03 
       2.699054090977e-03       9.930480050057e+03 
