# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.490431180662e-10       7.259715372209e-15       4.813781034626e-13       0.000000000000e+00       8.808044589179e-09       4.824779734336e-10      -2.505878261323e-12 
    3       1.405518832346e-10       1.229617255833e-14       6.057416323149e-13       0.000000000000e+00       5.402509963363e-09       3.436843348864e-10      -2.204633866157e-12 
    4       1.321675208620e-10       1.436034890489e-14       6.267945903157e-13       0.000000000000e+00       3.752726307819e-09       2.614608522051e-10      -1.759104356611e-12 
    5       1.255330672913e-10       1.328316327814e-14       5.871311074768e-13       0.000000000000e+00       2.799704799589e-09       2.074222862228e-10      -1.306072421551e-12 
    6       1.206574510324e-10       1.025181006509e-14       5.167190068029e-13       0.000000000000e+00       2.186065954854e-09       1.693409084974e-10      -8.928453040534e-13 
    7       1.171970431097e-10       6.796167219534e-15       4.360044898711e-13       0.000000000000e+00       1.763044467162e-09       1.411507187850e-10      -5.435427134370e-13 
    8       1.148965548551e-10       4.016446830255e-15       3.572143942144e-13       0.000000000000e+00       1.456549112547e-09       1.195925850636e-10      -2.689482996539e-13 
    9       1.135185189460e-10       2.321033220347e-15       2.876352109460e-13       0.000000000000e+00       1.225852467883e-09       1.027590629863e-10      -7.070904939952e-14 
   10       1.127973413203e-10       1.559864693615e-15       2.314550072593e-13       0.000000000000e+00       1.047071154064e-09       8.936141107213e-11       5.647520170520e-14 
   11       1.126567189945e-10       1.334214666630e-15       1.903091146730e-13       0.000000000000e+00       8.828658260233e-10       7.879732606391e-11       1.222959272120e-13 
   12       1.129052613525e-10       1.276413051244e-15       1.638734469718e-13       0.000000000000e+00       7.711737806658e-10       6.952860832063e-11       1.409711612764e-13 
   13       1.134769235300e-10       1.189746110789e-15       1.504549281612e-13       0.000000000000e+00       6.795095238216e-10       6.204357609710e-11       1.267015668760e-13 
   14       1.143208646296e-10       1.046048091950e-15       1.474107690215e-13       0.000000000000e+00       6.032696893884e-10       5.564270376609e-11       9.202213850105e-14 
   15       1.153797396149e-10       9.044079508171e-16       1.517300177116e-13       0.000000000000e+00       5.391122541250e-10       5.027123568366e-11       4.906142458586e-14 
   16       1.165804119179e-10       8.253278796014e-16       1.604425500651e-13       0.000000000000e+00       4.845774886059e-10       4.565995527693e-11       6.972668095949e-15 
   17       1.179297881763e-10       8.258565022825e-16       1.709596047504e-13       0.000000000000e+00       4.378076455879e-10       4.164377431198e-11      -2.794067494178e-14 
   18       1.193748679108e-10       8.788658862154e-16       1.814419258602e-13       0.000000000000e+00       3.972240103969e-10       3.815665922539e-11      -5.210929846506e-14 
   19       1.209307887983e-10       9.520403843335e-16       1.909607381634e-13       0.000000000000e+00       3.621796372731e-10       3.513276679762e-11      -6.467586444710e-14 
   20       1.225832309272e-10       1.012296227234e-15       1.988073933591e-13       0.000000000000e+00       3.313212543842e-10       3.242193461328e-11      -6.651865367988e-14 
   21       1.243199044813e-10       1.062852138168e-15       2.050217316662e-13       0.000000000000e+00       3.041624686218e-10       2.997577958499e-11      -5.979632968785e-14 
   22       1.260996460227e-10       1.122010150587e-15       2.100026634603e-13       0.000000000000e+00       2.800519082555e-10       2.774738587914e-11      -4.785519393166e-14 
   23       1.279353129234e-10       1.208859092123e-15       2.142503617592e-13       0.000000000000e+00       2.586570309589e-10       2.574610718328e-11      -3.358807816370e-14 
   24       1.298328720833e-10       1.341517737738e-15       2.183585567144e-13       0.000000000000e+00       2.394821998575e-10       2.397088500584e-11      -2.002503640915e-14 
   25       1.317821093146e-10       1.520251940375e-15       2.227676857809e-13       0.000000000000e+00       2.223010747453e-10       2.238471315414e-11      -9.009930037750e-15 
   26       1.337547909126e-10       1.738028524594e-15       2.278364144785e-13       0.000000000000e+00       2.068018634567e-10       2.092799667992e-11      -1.908038500850e-15 
   27       1.357573885819e-10       1.988500510562e-15       2.336032515589e-13       0.000000000000e+00       1.927980670489e-10       1.959942522729e-11       1.055091698281e-15 
