# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.490435985930e-10       7.259950473709e-15       4.813780983425e-13       2.351014676078e-19       8.808044589179e-09       4.824779734336e-10      -2.505878261323e-12 
    3       1.405528421151e-10       1.229664299027e-14       6.057416095402e-13       4.704316208849e-19       5.402509963363e-09       3.436843348864e-10      -2.204633866157e-12 
    4       1.321691142213e-10       1.436113345929e-14       6.267945250394e-13       7.845528428916e-19       3.752726307819e-09       2.614608522051e-10      -1.759104356611e-12 
    5       1.255354485072e-10       1.328434103142e-14       5.871309592338e-13       1.177747956656e-18       2.799704799589e-09       2.074222862228e-10      -1.306072421551e-12 
    6       1.206607701737e-10       1.025346043177e-14       5.167187163895e-13       1.650352215027e-18       2.186065954854e-09       1.693409084974e-10      -8.928453040534e-13 
    7       1.172014464520e-10       6.798369995178e-15       4.360039766914e-13       2.202742194968e-18       1.763044467162e-09       1.411507187850e-10      -5.435427134370e-13 
    8       1.149021844828e-10       4.019282222435e-15       3.572135541443e-13       2.835323491601e-18       1.456549112547e-09       1.195925850636e-10      -2.689482996539e-13 
    9       1.135255124484e-10       2.324581866526e-15       2.876339147421e-13       3.548517698636e-18       1.225852467883e-09       1.027590629863e-10      -7.070904939952e-14 
   10       1.128058315834e-10       1.564207665584e-15       2.314530995166e-13       4.342749188612e-18       1.047071154064e-09       8.936141107213e-11       5.647520170520e-14 
   11       1.126668340914e-10       1.339433461388e-15       1.903064133137e-13       5.218432212216e-18       8.828658260233e-10       7.879732606391e-11       1.222959272120e-13 
   12       1.129171245267e-10       1.282589568713e-15       1.638697432278e-13       6.175958820730e-18       7.711737806658e-10       6.952860832063e-11       1.409711612764e-13 
   13       1.134906532689e-10       1.196962619176e-15       1.504499869926e-13       7.215688079942e-18       6.795095238216e-10       6.204357609710e-11       1.267015668760e-13 
   14       1.143365748172e-10       1.054387181959e-15       1.474043298998e-13       8.337936989093e-18       6.032696893884e-10       5.564270376609e-11       9.202213850105e-14 
   15       1.153975397551e-10       9.139524802525e-16       1.517217956846e-13       9.542973446900e-18       5.391122541250e-10       5.027123568366e-11       4.906142458586e-14 
   16       1.166004074140e-10       8.361609102120e-16       1.604322370132e-13       1.083101152125e-17       4.845774886059e-10       4.565995527693e-11       6.972668095949e-15 
   17       1.179520806540e-10       8.380612308893e-16       1.709468707428e-13       1.220220918337e-17       4.378076455879e-10       4.164377431198e-11      -2.794067494178e-14 
   18       1.193995555755e-10       8.925255713786e-16       1.814264205685e-13       1.365666735818e-17       3.972240103969e-10       3.815665922539e-11      -5.210929846506e-14 
   19       1.209579667726e-10       9.672382764713e-16       1.909420919739e-13       1.519443869165e-17       3.621796372731e-10       3.513276679762e-11      -6.467586444710e-14 
   20       1.226129916578e-10       1.029115489279e-15       1.987852188465e-13       1.681551942539e-17       3.313212543842e-10       3.242193461328e-11      -6.651865367988e-14 
   21       1.243523380318e-10       1.081375783594e-15       2.049956242265e-13       1.851987421022e-17       3.041624686218e-10       2.997577958499e-11      -5.979632968785e-14 
   22       1.261348404441e-10       1.142320970679e-15       2.099722023719e-13       2.030742639769e-17       2.800519082555e-10       2.774738587914e-11      -4.785519393166e-14 
   23       1.279733544699e-10       1.231039606681e-15       2.142151103701e-13       2.217808752897e-17       2.586570309589e-10       2.574610718328e-11      -3.358807816370e-14 
   24       1.298738455073e-10       1.365650134796e-15       2.183180630648e-13       2.413174758048e-17       2.394821998575e-10       2.397088500584e-11      -2.002503640915e-14 
   25       1.318260979586e-10       1.546418046170e-15       2.227214824027e-13       2.616830933576e-17       2.223010747453e-10       2.238471315414e-11      -9.009930037750e-15 
   26       1.338018768998e-10       1.766309759815e-15       2.277840186418e-13       2.828767645343e-17       2.068018634567e-10       2.092799667992e-11      -1.908038500850e-15 
   27       1.358076528156e-10       2.018977874671e-15       2.335441649836e-13       3.048978357881e-17       1.927980670489e-10       1.959942522729e-11       1.055091698281e-15 
   28       1.378503231173e-10       2.298119521555e-15       2.398659028854e-13       3.277458872089e-17       1.800477074176e-10       1.840465649782e-11       2.405965036683e-16 
   29       1.399373469777e-10       2.603303314001e-15       2.464457657688e-13       3.514210791003e-17       1.684853668480e-10       1.733600795208e-11      -3.518858066401e-15 
   30       1.420632501817e-10       2.935821071128e-15       2.528313852662e-13       3.759239582217e-17       1.579865834437e-10       1.636851822371e-11      -8.944136050884e-15 
   31       1.442122004718e-10       3.296353061554e-15       2.584906520045e-13       4.012554567025e-17       1.483368099217e-10       1.546822551672e-11      -1.455113008097e-14 
   32       1.463894526142e-10       3.682820138902e-15       2.630419100439e-13       4.274171228808e-17       1.394859924510e-10       1.462927527315e-11      -1.950573271571e-14 
   33       1.485990706908e-10       4.091627297380e-15       2.660991267428e-13       4.544110596105e-17       1.313713271709e-10       1.384900070968e-11      -2.306367986530e-14 
   34       1.508376661674e-10       4.519676018082e-15       2.672932299003e-13       4.822398626800e-17       1.238789903141e-10       1.312070153306e-11      -2.454354211542e-14 
   35       1.531054662940e-10       4.969679828386e-15       2.665693042466e-13       5.109064384163e-17       1.169704659255e-10       1.244447199597e-11      -2.403112554217e-14 
   36       1.553973075472e-10       5.446777076354e-15       2.639960587148e-13       5.404141998688e-17       1.105901548980e-10       1.181929457345e-11      -2.193176477544e-14 
   37       1.577040659103e-10       5.956267010260e-15       2.596841809913e-13       5.707669189756e-17       1.046548209542e-10       1.124115236628e-11      -1.875671439906e-14 
   38       1.600309336411e-10       6.500375828102e-15       2.537620601649e-13       6.019679029872e-17       9.914905078273e-11       1.070781155326e-11      -1.498883176954e-14 
   39       1.623840237989e-10       7.080465916949e-15       2.463976190804e-13       6.340205979622e-17       9.405532114927e-11       1.021502377166e-11      -1.118747833553e-14 
   40       1.647648069181e-10       7.697899059981e-15       2.378087443432e-13       6.669288393673e-17       8.932496562025e-11       9.754850241460e-12      -8.034265234134e-15 
   41       1.671716212175e-10       8.353801670193e-15       2.281987682677e-13       7.006964736774e-17       8.489511294990e-11       9.318305963960e-12      -6.159537757134e-15 
   42       1.696060555229e-10       9.048273893561e-15       2.175303273743e-13       7.353260187737e-17       8.075266320982e-11       8.905069711416e-12      -5.535670056485e-15 
   43       1.720677612708e-10       9.780919319555e-15       2.056830176822e-13       7.708196068485e-17       7.688656642253e-11       8.516415337868e-12      -5.899027663626e-15 
   44       1.745522193928e-10       1.055103744631e-14       1.925130392796e-13       8.071793444222e-17       7.326862554027e-11       8.152427884556e-12      -6.909237675748e-15 
   45       1.770534506424e-10       1.135789552526e-14       1.778678389182e-13       8.444069477632e-17       6.986355531899e-11       7.812252987338e-12      -8.200693133583e-15 
