# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.157868065521e-10       5.322806180078e-15       3.295685510862e-13       0.000000000000e+00       7.174028912986e-09       4.357857147586e-10      -2.062892165274e-12 
    3       1.069667228327e-10       8.979024584729e-15       4.228500064831e-13       0.000000000000e+00       4.252733909439e-09       2.973441855902e-10      -1.813102624712e-12 
    4       9.917798401259e-11       1.039809502436e-14       4.414815927725e-13       0.000000000000e+00       2.852964297684e-09       2.180987247696e-10      -1.438752558348e-12 
    5       9.324369364802e-11       9.504571523017e-15       4.154253334121e-13       0.000000000000e+00       2.068730296829e-09       1.677481588861e-10      -1.057933322098e-12 
    6       8.891243352671e-11       7.228667707525e-15       3.666741305499e-13       0.000000000000e+00       1.575736470176e-09       1.331529790518e-10      -7.099853708580e-13 
    7       8.573677524548e-11       4.720935844718e-15       3.105821774569e-13       0.000000000000e+00       1.242102535333e-09       1.079570941126e-10      -4.161292479408e-13 
    8       8.345089118671e-11       2.775097082247e-15       2.558275076860e-13       0.000000000000e+00       1.004645139629e-09       8.897261691621e-11      -1.874437124581e-13 
    9       8.195128994162e-11       1.647882117876e-15       2.064601054268e-13       0.000000000000e+00       8.290998245050e-10       7.445358021519e-11      -2.677269056335e-14 
   10       8.092088648519e-11       1.178676139006e-15       1.650117919996e-13       0.000000000000e+00       6.953117915394e-10       6.320177818928e-11       7.058793565136e-14 
   11       8.008828153727e-11       1.045952489866e-15       1.335113939417e-13       0.000000000000e+00       5.869191113552e-10       5.516846663304e-11       1.148083740236e-13 
   12       7.924997835375e-11       9.874839857775e-16       1.127764899199e-13       0.000000000000e+00       5.043575137688e-10       4.779144562404e-11       1.194554254563e-13 
   13       7.845611383107e-11       8.905503503269e-16       1.019601484008e-13       0.000000000000e+00       4.374057787586e-10       4.195413895295e-11       9.850681237846e-14 
   14       7.784700994431e-11       7.643962285173e-16       9.880939387691e-14       0.000000000000e+00       3.823691580973e-10       3.702980853317e-11       6.362656942538e-14 
   15       7.746995492439e-11       6.631149027580e-16       1.005739951128e-13       0.000000000000e+00       3.365813863782e-10       3.294812844432e-11       2.530905990952e-14 
   16       7.732222439784e-11       6.225690142451e-16       1.046530081437e-13       0.000000000000e+00       2.980962469187e-10       2.949766161691e-11      -9.091704986069e-15 
   17       7.740989245062e-11       6.393818057059e-16       1.088856556139e-13       0.000000000000e+00       2.654538165768e-10       2.653504766752e-11      -3.509400774241e-14 
   18       7.769847720886e-11       6.824600189217e-16       1.118511856217e-13       0.000000000000e+00       2.374358675864e-10       2.399074222129e-11      -5.076865598682e-14 
   19       7.819997731357e-11       7.296972048291e-16       1.129473215397e-13       0.000000000000e+00       2.135004084379e-10       2.180792895464e-11      -5.633281086964e-14 
   20       7.889328160054e-11       7.637960826598e-16       1.118327487832e-13       0.000000000000e+00       1.926439319071e-10       1.987306066527e-11      -5.352657483722e-14 
   21       7.976263286775e-11       7.941715907307e-16       1.087058989851e-13       0.000000000000e+00       1.744803907900e-10       1.814702154053e-11      -4.471012265109e-14 
   22       8.076936686783e-11       8.407046835609e-16       1.040518038150e-13       0.000000000000e+00       1.585191012968e-10       1.659202788451e-11      -3.302619932842e-14 
   23       8.192449434153e-11       9.150451863719e-16       9.836305092886e-14       0.000000000000e+00       1.445007074009e-10       1.521139365776e-11      -2.086949623118e-14 
   24       8.323414558312e-11       1.024576750019e-15       9.217222667727e-14       0.000000000000e+00       1.320618229710e-10       1.400156675021e-11      -1.052156558887e-14 
   25       8.468519480025e-11       1.165316923682e-15       8.580394215790e-14       0.000000000000e+00       1.210278716601e-10       1.293483463030e-11      -3.132704215181e-15 
   26       8.624846355195e-11       1.328788776527e-15       7.947513284049e-14       0.000000000000e+00       1.111713763066e-10       1.196779152501e-11       6.667828469649e-16 
   27       8.792953311111e-11       1.510940835987e-15       7.313945859245e-14       0.000000000000e+00       1.023530751582e-10       1.109685670298e-11       1.120531938816e-15 
   28       8.973596956835e-11       1.708847659781e-15       6.660771079269e-14       0.000000000000e+00       9.439995493516e-11       1.032309387638e-11      -1.062728132542e-15 
   29       9.167093873622e-11       1.921630397876e-15       5.961154834223e-14       0.000000000000e+00       8.725801372703e-11       9.639134686719e-12      -5.043193937733e-15 
   30       9.372535747863e-11       2.148857849028e-15       5.177989675283e-14       0.000000000000e+00       8.083696807788e-11       9.025931721143e-12      -9.697460795976e-15 
   31       9.588201717049e-11       2.389676297728e-15       4.269246588140e-14       0.000000000000e+00       7.498927031531e-11       8.458610885497e-12      -1.378357394121e-14 
   32       9.814363157140e-11       2.642102852248e-15       3.211374226987e-14       0.000000000000e+00       6.967554821567e-11       7.933310773101e-12      -1.677695838316e-14 
   33       1.005134213776e-10       2.903409530441e-15       1.984008187209e-14       0.000000000000e+00       6.484993176641e-11       7.449317737876e-12      -1.833572394897e-14 
   34       1.029889048820e-10       3.171402416475e-15       5.694935402554e-15       0.000000000000e+00       6.043493419034e-11       7.003132720727e-12      -1.820261273088e-14 
   35       1.055686684764e-10       3.448363674462e-15      -1.027010520884e-14       0.000000000000e+00       5.640163446503e-11       6.593511584992e-12      -1.661835233817e-14 
   36       1.082466869933e-10       3.738565734875e-15      -2.790251780359e-14       0.000000000000e+00       5.271131309408e-11       6.217617323695e-12      -1.406580543714e-14 
   37       1.110136957953e-10       4.046232453676e-15      -4.701915787225e-14       0.000000000000e+00       4.930854326184e-11       5.870855161758e-12      -1.109608277151e-14 
   38       1.138704191349e-10       4.371852935406e-15      -6.747780282146e-14       0.000000000000e+00       4.618050229776e-11       5.551884807611e-12      -8.069329934355e-15 
   39       1.168178919836e-10       4.714673014368e-15      -8.912531584166e-14       0.000000000000e+00       4.331368012081e-11       5.258897582815e-12      -5.338950010497e-15 
   40       1.198534463577e-10       5.073659078739e-15      -1.117763201940e-13       0.000000000000e+00       4.067596011892e-11       4.988053637361e-12      -3.326170111694e-15 
   41       1.229725590248e-10       5.447664983229e-15      -1.352618953563e-13       0.000000000000e+00       3.822692540744e-11       4.734737560002e-12      -2.398511407446e-15 
   42       1.261760053580e-10       5.836041524459e-15      -1.595987606263e-13       0.000000000000e+00       3.595664371587e-11       4.498231484045e-12      -2.448036651740e-15 
   43       1.294644130236e-10       6.238194991162e-15      -1.848723449230e-13       0.000000000000e+00       3.385682591104e-11       4.278272886850e-12      -3.182516746429e-15 
   44       1.328360333910e-10       6.653414090615e-15      -2.111929218677e-13       0.000000000000e+00       3.190925435902e-11       4.073684806394e-12      -4.234538176792e-15 
   45       1.362877505262e-10       7.080968216274e-15      -2.386720740725e-13       0.000000000000e+00       3.009170319612e-11       3.882803756376e-12      -5.231767720521e-15 
   46       1.398189792925e-10       7.520449765263e-15      -2.673394756749e-13       0.000000000000e+00       2.839963672329e-11       3.705091161597e-12      -6.043752450156e-15 
   47       1.434285634692e-10       7.971525150505e-15      -2.972042770537e-13       0.000000000000e+00       2.682967918081e-11       3.539877256719e-12      -6.600994559837e-15 
   48       1.471135083010e-10       8.433840771494e-15      -3.282785948141e-13       0.000000000000e+00       2.537310278995e-11       3.385856457284e-12      -6.826116690093e-15 
   49       1.508688340847e-10       8.907023682014e-15      -3.605778438816e-13       0.000000000000e+00       2.401543806894e-11       3.241041963801e-12      -6.633527001445e-15 
   50       1.546892795908e-10       9.390609425351e-15      -3.940993193152e-13       0.000000000000e+00       2.274052421079e-11       3.103342559220e-12      -5.968454385788e-15 
   51       1.585752970954e-10       9.883800898087e-15      -4.287503174722e-13       0.000000000000e+00       2.154486040441e-11       2.972582895105e-12      -4.937322397424e-15 
   52       1.625284315498e-10       1.038564518680e-14      -4.644010781907e-13       0.000000000000e+00       2.042647642466e-11       2.848953119679e-12      -3.712184911040e-15 
   53       1.665495550203e-10       1.089509798566e-14      -5.009041547752e-13       0.000000000000e+00       1.938065658840e-11       2.732418879668e-12      -2.495930745299e-15 
   54       1.706388073276e-10       1.141102083672e-14      -5.380937225476e-13       0.000000000000e+00       1.839975901453e-11       2.622705204083e-12      -1.523801448804e-15 
   55       1.747956707382e-10       1.193231276061e-14      -5.758144315289e-13       0.000000000000e+00       1.747535210794e-11       2.519399875819e-12      -1.004770550393e-15 
   56       1.790193517593e-10       1.245834976341e-14      -6.140179420369e-13       0.000000000000e+00       1.660565959274e-11       2.422330539059e-12      -9.251508913340e-16 
   57       1.833083902148e-10       1.298864967889e-14      -6.526891594761e-13       0.000000000000e+00       1.578964840495e-11       2.331253044604e-12      -1.198857659597e-15 
   58       1.876604805416e-10       1.352274976647e-14      -6.918192409395e-13       0.000000000000e+00       1.502478502145e-11       2.245728958422e-12      -1.722465092969e-15 
   59       1.920724176521e-10       1.406020918755e-14      -7.314060548291e-13       0.000000000000e+00       1.430694500147e-11       2.165114100792e-12      -2.374381205189e-15 
   60       1.965400427954e-10       1.460061148175e-14      -7.714546404774e-13       0.000000000000e+00       1.363032252816e-11       2.088547085440e-12      -3.014022512084e-15 
   61       2.010592149755e-10       1.514347635360e-14      -8.119646987593e-13       0.000000000000e+00       1.298893111126e-11       2.015168147545e-12      -3.513050559188e-15 
   62       2.056291024814e-10       1.568796629235e-14      -8.528887429788e-13       0.000000000000e+00       1.238170396582e-11       1.944858953107e-12      -3.859141705173e-15 
   63       2.102495374692e-10       1.623311819437e-14      -8.941653273555e-13       0.000000000000e+00       1.180838315817e-11       1.877649265957e-12      -4.074151119546e-15 
   64       2.149200344302e-10       1.677792784857e-14      -9.357312343065e-13       0.000000000000e+00       1.126799028678e-11       1.813497240491e-12      -4.184294552382e-15 
   65       2.196397685931e-10       1.732134953521e-14      -9.775215225706e-13       0.000000000000e+00       1.075878651006e-11       1.752285267696e-12      -4.220340357184e-15 
   66       2.244075543256e-10       1.786229562466e-14      -1.019469575332e-12       0.000000000000e+00       1.027823257429e-11       1.693815821181e-12      -4.217801513727e-15 
   67       2.292218235361e-10       1.839963617620e-14      -1.061507148346e-12       0.000000000000e+00       9.822948841429e-12       1.637807303209e-12      -4.217127650911e-15 
   68       2.340808752138e-10       1.893225825183e-14      -1.103566715270e-12       0.000000000000e+00       9.389555276504e-12       1.583975858794e-12      -4.254755973950e-15 
   69       2.389837310400e-10       1.945925871075e-14      -1.145588947933e-12       0.000000000000e+00       8.977478403154e-12       1.532309353692e-12      -4.333729154205e-15 
   70       2.439294151429e-10       1.997978993882e-14      -1.187516845181e-12       0.000000000000e+00       8.586643916754e-12       1.482841704267e-12      -4.447441454021e-15 
   71       2.489166838985e-10       2.049300469589e-14      -1.229293674742e-12       0.000000000000e+00       8.216629895205e-12       1.435569901136e-12      -4.588212035498e-15 
   72       2.539440112672e-10       2.099805724175e-14      -1.270863080097e-12       0.000000000000e+00       7.866649332154e-12       1.390452053876e-12      -4.747243195729e-15 
