# Matter power spectrum P(k) at redshift z=0
# for k=1.04685e-05 to 1.07932 h/Mpc,
# number of wavenumbers equal to 601
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.046849140809e-05       3.654557505131e+05 
       2.344290333290e-05       3.458106055093e+04 
       3.646345031135e-05       1.052119860164e+04 
       4.956567620953e-05       5.062571571648e+03 
       6.278571989140e-05       3.130704633521e+03 
       7.616064213359e-05       2.263403146420e+03 
       8.972876312009e-05       1.815536848777e+03 
       1.035300150666e-04       1.564278561419e+03 
       1.176063145582e-04       1.417507228723e+03 
       1.320019592190e-04       1.331884384154e+03 
       1.467640533345e-04       1.284961049346e+03 
       1.619429669800e-04       1.264148941580e+03 
       1.775928330079e-04       1.261979076737e+03 
       1.937720858397e-04       1.273891857044e+03 
       2.105440452810e-04       1.296928655364e+03 
       2.279775473986e-04       1.329269779531e+03 
       2.461476226662e-04       1.369576004856e+03 
       2.651362188780e-04       1.417122789101e+03 
       2.850329624337e-04       1.471383221158e+03 
       3.059359461624e-04       1.532144125009e+03 
       3.279525244684e-04       1.599329882065e+03 
       3.512000868083e-04       1.672999712529e+03 
       3.758067679555e-04       1.753305654207e+03 
       4.019120379359e-04       1.840542229838e+03 
       4.296670959971e-04       1.935048122029e+03 
       4.592349721928e-04       2.037240123462e+03 
       4.907902187338e-04       2.147598387101e+03 
       5.245180541642e-04       2.266644223599e+03 
       5.606128113638e-04       2.394939489256e+03 
       5.992755419706e-04       2.533063101555e+03 
       6.407106531805e-04       2.681598907353e+03 
       6.851215064256e-04       2.841107820534e+03 
       7.327049973768e-04       3.012113249524e+03 
       7.836452634697e-04       3.195062074193e+03 
       8.381068191921e-04       3.390306749904e+03 
       8.962275784381e-04       3.598072638256e+03 
       9.581123530448e-04       3.818446514237e+03 
       1.023827477408e-03       4.051335175787e+03 
       1.093397167688e-03       4.296474865318e+03 
       1.166802068348e-03       4.553426343245e+03 
       1.243980187374e-03       4.821590177051e+03 
       1.324830123093e-03       5.100220690980e+03 
       1.409216205131e-03       5.381112414559e+03 
       1.496974969451e-03       5.657299049190e+03 
       1.587922298151e-03       5.937380975453e+03 
       1.681860580802e-03       6.220200343239e+03 
       1.778585369508e-03       6.504658817097e+03 
       1.877891163238e-03       6.789700712642e+03 
       1.979576127581e-03       7.074332670695e+03 
       2.083445703585e-03       7.357654498217e+03 
       2.189315168197e-03       7.638876810036e+03 
       2.297011276117e-03       7.917226429528e+03 
       2.406373144121e-03       8.192119860672e+03 
       2.517252543393e-03       8.462940761770e+03 
       2.629513752891e-03       8.729275107853e+03 
       2.743033105250e-03       8.990643437206e+03 
       2.857698332226e-03       9.246753020184e+03 
       2.973407792797e-03       9.497291514173e+03 
       3.090069645929e-03       9.742058415353e+03 
       3.207601012343e-03       9.980815741302e+03 
       3.325927155632e-03       1.021348847567e+04 
       3.444980702313e-03       1.043990757095e+04 
       3.564700912408e-03       1.066003914580e+04 
       3.685033006459e-03       1.087378934041e+04 
       3.805927550848e-03       1.108117079851e+04 
       3.927339900664e-03       1.128215522756e+04 
       4.049229697628e-03       1.147673448896e+04 
       4.171560419590e-03       1.166497844864e+04 
       4.294298977609e-03       1.184688823232e+04 
       4.417415356409e-03       1.202250174851e+04 
       4.540882294077e-03       1.219193056085e+04 
       4.664674997000e-03       1.235519608751e+04 
       4.788770886328e-03       1.251238502253e+04 
       4.913149372509e-03       1.266357076611e+04 
       5.037791654784e-03       1.280886963153e+04 
       5.162680542801e-03       1.294834393149e+04 
       5.287800297841e-03       1.308204823583e+04 
       5.413136491381e-03       1.321017302806e+04 
       5.538675879014e-03       1.333274703323e+04 
       5.664406287936e-03       1.344985575434e+04 
       5.790316516449e-03       1.356166448404e+04 
       5.916396244091e-03       1.366821594067e+04 
       6.042635951187e-03       1.376967604669e+04 
       6.169026846731e-03       1.386605890338e+04 
       6.295560803677e-03       1.395751490102e+04 
       6.422230300795e-03       1.404416844844e+04 
       6.549028370360e-03       1.412602193813e+04 
