# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.550027381380e-10       7.233327273230e-15       5.041050092765e-13       2.680653775270e-19       8.694176073148e-09       4.773594745145e-10      -2.499009034061e-12 
    3       1.463870043084e-10       1.224370364180e-14       6.325217556626e-13       5.363636055707e-19       5.404911165148e-09       3.418825211340e-10      -2.199054605732e-12 
    4       1.376650297560e-10       1.429725975416e-14       6.544996018615e-13       8.944487054676e-19       3.769618708579e-09       2.604812734708e-10      -1.754292935652e-12 
    5       1.306347276388e-10       1.322594628874e-14       6.134709000109e-13       1.342608958843e-18       2.817455862960e-09       2.068440751111e-10      -1.302505272016e-12 
    6       1.253504612234e-10       1.020938060186e-14       5.402958098564e-13       1.881186358957e-18       2.202492101759e-09       1.690215996977e-10      -8.903674983583e-13 
    7       1.214863141944e-10       6.770718275367e-15       4.561554794618e-13       2.510565448593e-18       1.776932139176e-09       1.409931852711e-10      -5.419740951724e-13 
    8       1.187972362525e-10       4.004871977141e-15       3.738066198903e-13       3.231160945475e-18       1.468097734569e-09       1.195448385918e-10      -2.680567536384e-13 
    9       1.170495825006e-10       2.318454694708e-15       3.008897439333e-13       4.043404641689e-18       1.235920179383e-09       1.027970489530e-10      -7.026912378378e-14 
   10       1.159746352176e-10       1.562201459380e-15       2.417760012614e-13       4.947732090532e-18       1.056742671367e-09       8.946722630064e-11       5.665225024079e-14 
   11       1.155000772028e-10       1.339132396503e-15       1.981741325509e-13       5.944569600361e-18       8.888134271227e-10       7.885829743269e-11       1.223688932292e-13 
   12       1.154319837897e-10       1.283036375079e-15       1.698099614652e-13       7.034322040147e-18       7.766167970143e-10       6.961628784058e-11       1.410035864722e-13 
   13       1.156999449554e-10       1.197911117599e-15       1.549897451363e-13       8.217361926134e-18       6.845205795828e-10       6.215204071029e-11       1.267531178602e-13 
   14       1.162636652763e-10       1.055776332736e-15       1.509866012147e-13       9.494020204699e-18       6.079075059621e-10       5.577238749058e-11       9.213176129640e-14 
   15       1.170523595843e-10       9.157319270822e-16       1.547256042398e-13       1.086457907545e-17       5.434241178926e-10       5.040833033313e-11       4.920434876418e-14 
   16       1.179984305415e-10       8.382853165545e-16       1.631847706016e-13       1.232926711361e-17       4.886020707102e-10       4.580312542856e-11       7.127410332109e-15 
   17       1.191044375377e-10       8.405846166989e-16       1.737008832667e-13       1.388825685546e-17       4.415772400537e-10       4.179297431287e-11      -2.779901693332e-14 
   18       1.203211880467e-10       8.956409522876e-16       1.843684564763e-13       1.554166370468e-17       4.007639778732e-10       3.831253722186e-11      -5.199676881920e-14 
   19       1.216653228141e-10       9.711767561497e-16       1.942078330808e-13       1.728955454325e-17       3.655164805682e-10       3.529537449603e-11      -6.459892259865e-14 
   20       1.231185632112e-10       1.034094839929e-15       2.024484166422e-13       1.913193950246e-17       3.344732454526e-10       3.258945693466e-11      -6.647475969562e-14 
