# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.549636166903e-10       7.233148002722e-15       5.042671122240e-13       0.000000000000e+00       8.683814258020e-09       4.769237273227e-10      -2.498998484531e-12 
    3       1.463508817733e-10       1.224341313075e-14       6.328504456548e-13       0.000000000000e+00       5.399694324279e-09       3.414448256780e-10      -2.199050508544e-12 
    4       1.376335162450e-10       1.429676881181e-14       6.549903690326e-13       0.000000000000e+00       3.765498876184e-09       2.600495369489e-10      -1.754294197359e-12 
    5       1.306077580037e-10       1.322508065979e-14       6.140846252720e-13       0.000000000000e+00       2.813669358615e-09       2.064220590037e-10      -1.302510486975e-12 
    6       1.253272614149e-10       1.020793777991e-14       5.409715470253e-13       0.000000000000e+00       2.198953810063e-09       1.686116917488e-10      -8.903745664793e-13 
    7       1.214658886018e-10       6.768535718989e-15       4.568249039576e-13       0.000000000000e+00       1.773653013133e-09       1.405966938836e-10      -5.419803951624e-13 
    8       1.187783653789e-10       4.001865301143e-15       3.744067268010e-13       0.000000000000e+00       1.465062873953e-09       1.191618145874e-10      -2.680598555112e-13 
    9       1.170308507601e-10       2.314605708395e-15       3.013729929771e-13       0.000000000000e+00       1.233103502337e-09       1.024269514743e-10      -7.026740546340e-14 
   10       1.159546687214e-10       1.557507501118e-15       2.421166148693e-13       0.000000000000e+00       1.054108789477e-09       8.910933946494e-11       5.665932097350e-14 
   11       1.154774468113e-10       1.333553461762e-15       1.983694686639e-13       0.000000000000e+00       8.871816749273e-10       7.853244415499e-11       1.223805312051e-13 
   12       1.154051851016e-10       1.276471424232e-15       1.698777722409e-13       0.000000000000e+00       7.751217303505e-10       6.930111288131e-11       1.410191360995e-13 
   13       1.156675617316e-10       1.190211243917e-15       1.549634295208e-13       0.000000000000e+00       6.831421529063e-10       6.184694233921e-11       1.267704989764e-13 
   14       1.162241724334e-10       1.046780288753e-15       1.509089519646e-13       0.000000000000e+00       6.066297709023e-10       5.547653342015e-11       9.214850556441e-14 
   15       1.170043311189e-10       9.053007216263e-16       1.546416281335e-13       0.000000000000e+00       5.422341706087e-10       5.012107815803e-11       4.921790155257e-14 
   16       1.179405332851e-10       8.263181371729e-16       1.631357047427e-13       0.000000000000e+00       4.874893386148e-10       4.552371465476e-11       7.135481844604e-15 
   17       1.190352891930e-10       8.270119107453e-16       1.737198797485e-13       0.000000000000e+00       4.405329342811e-10       4.152062734166e-11      -2.779810720655e-14 
   18       1.202395761692e-10       8.804032332986e-16       1.844774728333e-13       0.000000000000e+00       3.997811969866e-10       3.804681742838e-11      -5.200373663335e-14 
   19       1.215700765610e-10       9.542030741699e-16       1.944185981700e-13       0.000000000000e+00       3.645880676389e-10       3.503581424403e-11      -6.461354326450e-14 
   20       1.230085186729e-10       1.015293790964e-15       2.027612365704e-13       0.000000000000e+00       3.335942852791e-10       3.233566735819e-11      -6.649582535669e-14 
   21       1.245408888453e-10       1.066816432199e-15       2.095101931921e-13       0.000000000000e+00       3.063123236263e-10       2.989772506758e-11      -5.980455420080e-14 
