# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.549641100872e-10       7.233401127378e-15       5.042671069124e-13       2.531246195227e-19       8.683814258020e-09       4.769237273227e-10      -2.498998484531e-12 
    3       1.463518665758e-10       1.224391961098e-14       6.328504220278e-13       5.064798774014e-19       5.399694324279e-09       3.414448256780e-10      -2.199050508544e-12 
    4       1.376351532061e-10       1.429761345120e-14       6.549903013109e-13       8.446376435786e-19       3.765498876184e-09       2.600495369489e-10      -1.754294197359e-12 
    5       1.306102053558e-10       1.322634854919e-14       6.140844714686e-13       1.267883435778e-18       2.813669358615e-09       2.064220590037e-10      -1.302510486975e-12 
    6       1.253306743510e-10       1.020971435206e-14       5.409712457027e-13       1.776555945974e-18       2.198953810063e-09       1.686116917488e-10      -8.903745664793e-13 
    7       1.214704188267e-10       6.770906792464e-15       4.568243714674e-13       2.371035971616e-18       1.773653013133e-09       1.405966938836e-10      -5.419803951624e-13 
    8       1.187841607373e-10       4.004917112347e-15       3.744058550588e-13       3.051734144465e-18       1.465062873953e-09       1.191618145874e-10      -2.680598555112e-13 
    9       1.170380549481e-10       2.318424930576e-15       3.013716477992e-13       3.819077939425e-18       1.233103502337e-09       1.024269514743e-10      -7.026740546340e-14 
   10       1.159634210849e-10       1.562181249923e-15       2.421146348783e-13       4.673498472431e-18       1.054108789477e-09       8.910933946494e-11       5.665932097350e-14 
   11       1.154878822311e-10       1.339169287189e-15       1.983666647431e-13       5.615417602607e-18       8.871816749273e-10       7.853244415499e-11       1.223805312051e-13 
   12       1.154174339638e-10       1.283117289335e-15       1.698739275001e-13       6.645235839090e-18       7.751217303505e-10       6.930111288131e-11       1.410191360995e-13 
   13       1.156817499766e-10       1.197975490981e-15       1.549582997142e-13       7.763321517937e-18       6.831421529063e-10       6.184694233921e-11       1.267704989764e-13 
   14       1.162404216779e-10       1.055751594096e-15       1.509022662882e-13       8.970001660663e-18       6.066297709023e-10       5.547653342015e-11       9.214850556441e-14 
   15       1.170227588406e-10       9.155680405097e-16       1.546330903153e-13       1.026555485549e-17       5.422341706087e-10       5.012107815803e-11       4.921790155257e-14 
   16       1.179612530582e-10       8.379706405939e-16       1.631249943344e-13       1.165020641809e-17       4.874893386148e-10       4.552371465476e-11       7.135481844604e-15 
   17       1.190584109634e-10       8.401389161279e-16       1.737066535236e-13       1.312412599415e-17       4.405329342811e-10       4.152062734166e-11      -2.779810720655e-14 
   18       1.202652065610e-10       8.950941303299e-16       1.844613662473e-13       1.468742647142e-17       3.997811969866e-10       3.804681742838e-11      -5.200373663335e-14 
