# Matter power spectrum P(k) at redshift z=0
# for k=1.04685e-05 to 10.5321 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.046849140809e-05       5.220033817183e+01 
       2.344290333290e-05       1.133590575667e+02 
       3.646345031135e-05       1.733745133506e+02 
       4.956567620953e-05       2.329256991632e+02 
       6.278571989140e-05       2.923950356743e+02 
       7.616064213359e-05       3.520670174066e+02 
       8.972876312009e-05       4.121836461764e+02 
       1.035300150666e-04       4.729670820469e+02 
       1.176063145582e-04       5.346312091324e+02 
       1.320019592190e-04       5.973886088349e+02 
       1.467640533345e-04       6.614553840410e+02 
       1.619429669800e-04       7.270548914564e+02 
       1.775928330079e-04       7.944209232463e+02 
       1.937720858397e-04       8.638005945907e+02 
       2.105440452810e-04       9.354571139484e+02 
       2.279775473986e-04       1.009672501009e+03 
       2.461476226662e-04       1.086750325895e+03 
       2.651362188780e-04       1.167018448619e+03 
       2.850329624337e-04       1.250831763357e+03 
       3.059359461624e-04       1.338574888258e+03 
       3.279525244684e-04       1.430664707620e+03 
       3.512000868083e-04       1.527552640868e+03 
       3.758067679555e-04       1.629726450508e+03 
       4.019120379359e-04       1.737711332285e+03 
       4.296670959971e-04       1.852069963487e+03 
       4.592349721928e-04       1.973401124133e+03 
       4.907902187338e-04       2.102336385647e+03 
       5.245180541642e-04       2.239534363098e+03 
       5.606128113638e-04       2.385671997605e+03 
       5.992755419706e-04       2.541432285883e+03 
       6.407106531805e-04       2.707488215379e+03 
       6.851215064256e-04       2.884482694084e+03 
       7.327049973768e-04       3.073004890643e+03 
       7.836452634697e-04       3.273563726811e+03 
       8.381068191921e-04       3.486560158477e+03 
       8.962275784381e-04       3.712260151695e+03 
       9.581123530448e-04       3.950770980140e+03 
       1.023827477408e-03       4.202023608123e+03 
       1.093397167688e-03       4.465763268377e+03 
       1.166802068348e-03       4.741550037046e+03 
       1.243980187374e-03       5.028769913069e+03 
       1.324830123093e-03       5.326655276409e+03 
       1.409216205131e-03       5.634296708751e+03 
       1.496974969451e-03       5.950697399652e+03 
       1.587922298151e-03       6.274833814057e+03 
       1.681860580802e-03       6.605632691369e+03 
       1.778585369508e-03       6.942022904306e+03 
       1.877891163238e-03       7.282959432595e+03 
       1.979576127581e-03       7.627442204734e+03 
       2.083445703585e-03       7.974530129834e+03 
       2.189315168197e-03       8.323349691667e+03 
       2.297011276117e-03       8.673099971998e+03 
       2.406373144121e-03       9.023054086825e+03 
       2.517252543393e-03       9.372557985029e+03 
       2.629513752891e-03       9.721027793892e+03 
       2.743033105250e-03       1.006794603220e+04 
       2.857698332226e-03       1.041285565242e+04 
       2.973407792797e-03       1.075535910242e+04 
       3.090069645929e-03       1.109510467548e+04 
       3.207601012343e-03       1.143179157979e+04 
       3.325927155632e-03       1.176515899572e+04 
       3.444980702313e-03       1.209498297927e+04 
       3.564700912408e-03       1.242106933325e+04 
       3.685033006459e-03       1.274325724569e+04 
       3.805927550848e-03       1.306140761546e+04 
       3.927339900664e-03       1.337540844683e+04 
       4.049229697628e-03       1.368515856162e+04 
       4.171560419590e-03       1.399058332026e+04 
       4.294298977609e-03       1.429161904464e+04 
       4.417415356409e-03       1.458821377059e+04 
       4.540882294077e-03       1.488032963624e+04 
       4.664674997000e-03       1.516793835014e+04 
       4.788770886328e-03       1.545102169703e+04 
       4.913149372509e-03       1.572957283356e+04 
       5.037791654784e-03       1.600358568767e+04 
       5.162680542801e-03       1.627305879294e+04 
       5.287800297841e-03       1.653800571087e+04 
       5.413136491381e-03       1.679843579302e+04 
       5.538675879014e-03       1.705437222555e+04 
       5.664406287936e-03       1.730583206878e+04 
       5.790316516449e-03       1.755284456736e+04 
       5.916396244091e-03       1.779542997868e+04 
       6.042635951187e-03       1.803362223693e+04 
       6.169026846731e-03       1.826745535880e+04 
       6.295560803677e-03       1.849695258296e+04 
       6.422230300795e-03       1.872215631536e+04 
       6.549028370360e-03       1.894309921097e+04 
       6.675948551041e-03       1.915981233557e+04 
       6.802984845400e-03       1.937234228353e+04 
       6.930131681530e-03       1.958072404915e+04 
       7.057383878354e-03       1.978499327291e+04 
       7.184736614224e-03       1.998518988076e+04 
       7.312185398459e-03       2.018135901765e+04 
       7.439726045512e-03       2.037353021704e+04 
       7.567354651505e-03       2.056176752012e+04 
       7.695067572888e-03       2.074608538721e+04 
       7.822861407000e-03       2.092654204874e+04 
       7.950732974349e-03       2.110317431184e+04 
       8.078679302445e-03       2.127602496116e+04 
       8.206697611022e-03       2.144513881597e+04 
       8.334785298529e-03       2.161054201377e+04 
       8.462939929753e-03       2.177230578068e+04 
       8.591159224487e-03       2.193045195779e+04 
       8.719441047124e-03       2.208501969812e+04 
       8.847783397110e-03       2.223604195502e+04 
       8.976184400164e-03       2.238358223910e+04 
       9.104642300204e-03       2.252766138178e+04 
       9.233155451908e-03       2.266832426290e+04 
       9.361722313872e-03       2.280560890053e+04 
       9.490341442280e-03       2.293955781947e+04 
       9.619011485082e-03       2.307020915744e+04 
       9.747731176599e-03       2.319758843103e+04 
       9.876499332552e-03       2.332175305405e+04 
       1.000531484545e-02       2.344271728401e+04 
       1.013417668033e-02       2.356054031729e+04 
       1.026308387080e-02       2.367524616777e+04 
       1.039203551541e-02       2.378687531555e+04 
       1.052103077421e-02       2.389546685361e+04 
       1.065006886565e-02       2.400105267630e+04 
